Município,Ano,População
Pratinha,2016,3543
Presidente Bernardes,2016,5578
Presidente Juscelino,2016,3851
Presidente Kubitschek,2016,3059
Presidente Olegário,2016,19536
Alto Jequitibá,2016,8525
Prudente de Morais,2016,10485
Quartel Geral,2016,3537
Queluzito,2016,1953
Raposos,2016,16312
Raul Soares,2016,24381
Recreio,2016,10682
Reduto,2016,7071
Resende Costa,2016,11525
Resplendor,2016,17695
Ressaquinha,2016,4848
Riachinho,2016,8283
Riacho dos Machados,2016,9665
Ribeirão das Neves,2016,325846
Ribeirão Vermelho,2016,4042
Rio Acima,2016,10026
Rio Casca,2016,14187
Rio Doce,2016,2611
Rio do Prado,2016,5309
Rio Espera,2016,5876
Rio Manso,2016,5730
Rio Novo,2016,9067
Rio Paranaíba,2016,12431
Rio Pardo de Minas,2016,30878
Rio Piracicaba,2016,14613
Rio Pomba,2016,18001
Rio Preto,2016,5531
Rio Vermelho,2016,13523
Ritápolis,2016,4862
Rochedo de Minas,2016,2278
Rodeiro,2016,7758
Romaria,2016,3650
Rosário da Limeira,2016,4553
Rubelita,2016,6937
Rubim,2016,10354
Sabará,2016,135196
Sabinópolis,2016,15961
Sacramento,2016,25819
Salinas,2016,41494
Salto da Divisa,2016,7117
Santa Bárbara,2016,30436
Santa Bárbara do Leste,2016,8144
Santa Bárbara do Monte Verde,2016,3067
Santa Bárbara do Tugúrio,2016,4603
Santa Cruz de Minas,2016,8489
Santa Cruz de Salinas,2016,4359
Santa Cruz do Escalvado,2016,4981
Santa Efigênia de Minas,2016,4604
Santa Fé de Minas,2016,3997
Santa Helena de Minas,2016,6387
Santa Juliana,2016,13165
Santa Luzia,2016,217610
Santa Margarida,2016,16080
Santa Maria de Itabira,2016,10986
Santa Maria do Salto,2016,5387
Santa Maria do Suaçuí,2016,14883
Santana da Vargem,2016,7336
Santana de Cataguases,2016,3856
Santana de Pirapama,2016,7997
Santana do Deserto,2016,4024
Santana do Garambéu,2016,2419
Santana do Jacaré,2016,4845
Santana do Manhuaçu,2016,8849
Santana do Paraíso,2016,32232
Santana do Riacho,2016,4280
Santana dos Montes,2016,3892
Santa Rita de Caldas,2016,9208
Santa Rita de Jacutinga,2016,5054
Santa Rita de Minas,2016,7097
Santa Rita de Ibitipoca,2016,3580
Santa Rita do Itueto,2016,5719
Santa Rita do Sapucaí,2016,41886
Santa Rosa da Serra,2016,3377
Santa Vitória,2016,19520
Santo Antônio do Amparo,2016,18462
Santo Antônio do Aventureiro,2016,3664
Santo Antônio do Grama,2016,4087
Santo Antônio do Itambé,2016,4066
Santo Antônio do Jacinto,2016,11992
Santo Antônio do Monte,2016,27938
Santo Antônio do Retiro,2016,7315
Santo Antônio do Rio Abaixo,2016,1815
Santo Hipólito,2016,3231
Santos Dumont,2016,47560
São Bento Abade,2016,5103
São Brás do Suaçuí,2016,3730
São Domingos das Dores,2016,5680
São Domingos do Prata,2016,17792
São Félix de Minas,2016,3460
São Francisco,2016,56619
São Francisco de Paula,2016,6671
São Francisco de Sales,2016,6188
São Francisco do Glória,2016,5114
São Geraldo,2016,11736
São Geraldo da Piedade,2016,4251
São Geraldo do Baixio,2016,3878
São Gonçalo do Abaeté,2016,6840
São Gonçalo do Pará,2016,11823
São Gonçalo do Rio Abaixo,2016,10683
São Gonçalo do Sapucaí,2016,25399
São Gotardo,2016,34728
São João Batista do Glória,2016,7387
São João da Lagoa,2016,4922
São João da Mata,2016,2810
São João da Ponte,2016,25880
São João das Missões,2016,12760
São João del Rei,2016,89832
São João do Manhuaçu,2016,11262
São João do Manteninha,2016,5706
São João do Oriente,2016,7853
São João do Pacuí,2016,4369
São João do Paraíso,2016,23630
São João Evangelista,2016,16070
São João Nepomuceno,2016,26439
São Joaquim de Bicas,2016,29674
São José da Barra,2016,7323
São José da Lapa,2016,22592
São José da Safira,2016,4289
São José da Varginha,2016,4770
São José do Alegre,2016,4213
São José do Divino,2016,3945
São José do Goiabal,2016,5653
São José do Jacuri,2016,6660
São José do Mantimento,2016,2771
São Lourenço,2016,45128
São Miguel do Anta,2016,7032
São Pedro da União,2016,4944
São Pedro dos Ferros,2016,8231
São Pedro do Suaçuí,2016,5522
São Romão,2016,11727
São Roque de Minas,2016,7064
São Sebastião da Bela Vista,2016,5394
São Sebastião da Vargem Alegre,2016,2990
São Sebastião do Anta,2016,6355
São Sebastião do Maranhão,2016,10564
São Sebastião do Oeste,2016,6512
São Sebastião do Paraíso,2016,70066
São Sebastião do Rio Preto,2016,1591
São Sebastião do Rio Verde,2016,2239
São Tiago,2016,11046
São Tomás de Aquino,2016,7230
São Tomé das Letras,2016,7072
São Vicente de Minas,2016,7614
Sapucaí-Mirim,2016,6796
Sardoá,2016,6142
Sarzedo,2016,30478
Setubinha,2016,11952
Sem-Peixe,2016,2794
Senador Amaral,2016,5429
Senador Cortes,2016,2048
Senador Firmino,2016,7747
Senador José Bento,2016,1703
Senador Modestino Gonçalves,2016,4446
Senhora de Oliveira,2016,5886
Senhora do Porto,2016,3600
Senhora dos Remédios,2016,10604
Sericita,2016,7420
Seritinga,2016,1870
Serra Azul de Minas,2016,4368
Serra da Saudade,2016,815
Serra dos Aimorés,2016,8789
Serra do Salitre,2016,11410
Serrania,2016,7804
Serranópolis de Minas,2016,4741
Serranos,2016,2026
Serro,2016,21431
Sete Lagoas,2016,234221
Silveirânia,2016,2287
Silvianópolis,2016,6299
Simão Pereira,2016,2646
Simonésia,2016,19530
Sobrália,2016,5816
Soledade de Minas,2016,6094
Tabuleiro,2016,3991
Taiobeiras,2016,33576
Taparuba,2016,3199
Tapira,2016,4598
Tapiraí,2016,1921
Taquaraçu de Minas,2016,4053
Tarumirim,2016,14670
Teixeiras,2016,11815
Teófilo Otoni,2016,141502
Timóteo,2016,88255
Tiradentes,2016,7726
Tiros,2016,6832
Tocantins,2016,16703
Tocos do Moji,2016,4136
Toledo,2016,6194
Tombos,2016,8899
Três Corações,2016,78474
Três Marias,2016,31366
Três Pontas,2016,56879
Tumiritinga,2016,6705
Tupaciguara,2016,25452
Turmalina,2016,19612
Turvolândia,2016,4995
Ubá,2016,112186
Ubaí,2016,12466
Ubaporanga,2016,12591
Uberaba,2016,325279
Uberlândia,2016,669672
Umburatiba,2016,2718
Unaí,2016,83448
União de Minas,2016,4463
Uruana de Minas,2016,3337
Urucânia,2016,10587
Urucuia,2016,15833
Vargem Alegre,2016,6633
Vargem Bonita,2016,2211
Vargem Grande do Rio Pardo,2016,5011
Varginha,2016,133384
Varjão de Minas,2016,6857
Várzea da Palma,2016,38838
Varzelândia,2016,19712
Vazante,2016,20720
Verdelândia,2016,9140
Veredinha,2016,5786
Veríssimo,2016,3870
Vermelho Novo,2016,4894
Vespasiano,2016,120510
Viçosa,2016,77863
Vieiras,2016,3753
Mathias Lobato,2016,3357
Virgem da Lapa,2016,14037
Virgínia,2016,8868
Virginópolis,2016,10801
Virgolândia,2016,5638
Visconde do Rio Branco,2016,41567
Volta Grande,2016,5302
Wenceslau Braz,2016,2616
Abadia dos Dourados,2017,7059
Abaeté,2017,23611
Abre Campo,2017,13733
Acaiaca,2017,4065
Açucena,2017,9997
Água Boa,2017,14370
Água Comprida,2017,2058
Aguanil,2017,4440
Águas Formosas,2017,19416
Águas Vermelhas,2017,13576
Aimorés,2017,25711
Aiuruoca,2017,6209
Alagoa,2017,2752
Albertina,2017,3046
Além Paraíba,2017,35866
Alfenas,2017,79707
Alfredo Vasconcelos,2017,6775
Almenara,2017,41794
Alpercata,2017,7515
Alpinópolis,2017,19846
Alterosa,2017,14551
Alto Caparaó,2017,5791
Alto Rio Doce,2017,11693
Alvarenga,2017,4199
Alvinópolis,2017,15599
Alvorada de Minas,2017,3673
Amparo do Serra,2017,4924
Andradas,2017,40706
Cachoeira de Pajeú,2017,9479
Andrelândia,2017,12507
Angelândia,2017,8541
Antônio Carlos,2017,11608
Antônio Dias,2017,9637
Antônio Prado de Minas,2017,1664
Araçaí,2017,2368
Aracitaba,2017,2111
Araçuaí,2017,37361
Araguari,2017,117445
Arantina,2017,2873
Araponga,2017,8544
Araporã,2017,6774
Arapuá,2017,2883
Araújos,2017,8996
Araxá,2017,104283
Arceburgo,2017,10578
Arcos,2017,39811
Areado,2017,14956
Argirita,2017,2859
Aricanduva,2017,5192
Arinos,2017,18243
Astolfo Dutra,2017,14118
Ataléia,2017,13762
Augusto de Lima,2017,5023
Baependi,2017,19315
Baldim,2017,8051
Bambuí,2017,24018
Bandeira,2017,4984
Bandeira do Sul,2017,5739
Barão de Cocais,2017,31968
Barão de Monte Alto,2017,5648
Barbacena,2017,136689
Barra Longa,2017,5624
Barroso,2017,20882
Bela Vista de Minas,2017,10416
Belmiro Braga,2017,3503
Belo Horizonte,2017,2523794
Belo Oriente,2017,26158
Belo Vale,2017,7841
Berilo,2017,12360
Bertópolis,2017,4678
Berizal,2017,4720
Betim,2017,427146
Bias Fortes,2017,3613
Bicas,2017,14545
Biquinhas,2017,2619
Boa Esperança,2017,40530
Bocaina de Minas,2017,5185
Bocaiúva,2017,50168
Bom Despacho,2017,50042
Bom Jardim de Minas,2017,6644
Bom Jesus da Penha,2017,4203
Bom Jesus do Amparo,2017,6018
Bom Jesus do Galho,2017,15459
Bom Repouso,2017,10775
Bom Sucesso,2017,17907
Bonfim,2017,7020
Bonfinópolis de Minas,2017,5764
Bonito de Minas,2017,10951
Borda da Mata,2017,19055
Botelhos,2017,15322
Botumirim,2017,6540
Brasilândia de Minas,2017,16105
Brasília de Minas,2017,32732
Brás Pires,2017,4550
Braúnas,2017,5003
Brazópolis,2017,14889
Brumadinho,2017,38863
Bueno Brandão,2017,11233
Buenópolis,2017,10594
Bugre,2017,4146
Buritis,2017,24689
Buritizeiro,2017,28335
Cabeceira Grande,2017,6940
Cabo Verde,2017,14330
Cachoeira da Prata,2017,3710
Cachoeira de Minas,2017,11646
Cachoeira Dourada,2017,2691
Caetanópolis,2017,11399
Caeté,2017,44377
Caiana,2017,5440
Cajuri,2017,4108
Caldas,2017,14529
Camacho,2017,3064
Camanducaia,2017,22057
Cambuí,2017,29165
Cambuquira,2017,13053
Campanário,2017,3757
Campanha,2017,16627
Campestre,2017,21440
Campina Verde,2017,20079
Campo Azul,2017,3863
Campo Belo,2017,54458
Campo do Meio,2017,11878
Campo Florido,2017,7886
Campos Altos,2017,15387
Campos Gerais,2017,29057
Canaã,2017,4699
Canápolis,2017,12117
Cana Verde,2017,5735
Candeias,2017,15147
Cantagalo,2017,4517
Caparaó,2017,5489
Capela Nova,2017,4805
Capelinha,2017,37867
Capetinga,2017,7152
Capim Branco,2017,9678
Capinópolis,2017,16250
Capitão Andrade,2017,5405
Capitão Enéas,2017,15237
Capitólio,2017,8682
Caputira,2017,9431
Caraí,2017,23781
Caranaíba,2017,3299
Carandaí,2017,25376
Carangola,2017,33559
Caratinga,2017,91841
Carbonita,2017,9544
Careaçu,2017,6757
Carlos Chagas,2017,19750
Carmésia,2017,2629
Carmo da Cachoeira,2017,12350
Carmo da Mata,2017,11559
Carmo de Minas,2017,14822
Carmo do Cajuru,2017,22136
Carmo do Paranaíba,2017,30861
Carmo do Rio Claro,2017,21458
Carmópolis de Minas,2017,18995
Carneirinho,2017,10072
Carrancas,2017,4110
Carvalhópolis,2017,3581
Carvalhos,2017,4617
Casa Grande,2017,2309
Cascalho Rico,2017,3071
Cássia,2017,18057
Conceição da Barra de Minas,2017,4050
Cataguases,2017,75025
Catas Altas,2017,5316
Catas Altas da Noruega,2017,3666
Catuji,2017,6612
Catuti,2017,5151
Caxambu,2017,22208
Cedro do Abaeté,2017,1209
Central de Minas,2017,7112
Centralina,2017,10622
Chácara,2017,3101
Chalé,2017,5823
Chapada do Norte,2017,15675
Chapada Gaúcha,2017,12971
Chiador,2017,2789
Cipotânea,2017,6868
Claraval,2017,4847
Claro dos Poções,2017,7819
Cláudio,2017,28287
Coimbra,2017,7559
Coluna,2017,9146
Comendador Gomes,2017,3138
Comercinho,2017,7599
Conceição da Aparecida,2017,10374
Conceição das Pedras,2017,2858
Conceição das Alagoas,2017,26818
Conceição de Ipanema,2017,4644
Conceição do Mato Dentro,2017,18126
Conceição do Pará,2017,5515
Conceição do Rio Verde,2017,13724
Conceição dos Ouros,2017,11467
Cônego Marinho,2017,7624
Confins,2017,6608
Congonhal,2017,11706
Congonhas,2017,53843
Congonhas do Norte,2017,5134
Conquista,2017,6960
Conselheiro Lafaiete,2017,127369
Conselheiro Pena,2017,23240
Consolação,2017,1810
Contagem,2017,658580
Coqueiral,2017,9432
Coração de Jesus,2017,27052
Cordisburgo,2017,9029
Cordislândia,2017,3587
Corinto,2017,24384
Coroaci,2017,10339
Coromandel,2017,28508
Coronel Fabriciano,2017,110326
Coronel Murta,2017,9411
Coronel Pacheco,2017,3125
Coronel Xavier Chaves,2017,3471
Córrego Danta,2017,3359
Córrego do Bom Jesus,2017,3804
Córrego Fundo,2017,6295
Córrego Novo,2017,2970
Couto de Magalhães de Minas,2017,4444
Crisólita,2017,6631
Cristais,2017,12564
Cristália,2017,6042
Cristiano Otoni,2017,5225
Cristina,2017,10482
Crucilândia,2017,5057
Cruzeiro da Fortaleza,2017,4174
Cruzília,2017,15497
Cuparaque,2017,4995
Curral de Dentro,2017,7623
Curvelo,2017,79878
Datas,2017,5471
Delfim Moreira,2017,8205
Delfinópolis,2017,7186
Delta,2017,9904
Descoberto,2017,5047
Desterro de Entre Rios,2017,7334
Desterro do Melo,2017,3015
Diamantina,2017,48230
Diogo de Vasconcelos,2017,3913
Dionísio,2017,8287
Divinésia,2017,3455
Divino,2017,20133
Divino das Laranjeiras,2017,5086
Divinolândia de Minas,2017,7559
Divinópolis,2017,234937
Divisa Alegre,2017,6625
Divisa Nova,2017,6068
Divisópolis,2017,10547
Dom Bosco,2017,3818
Dom Cavati,2017,5247
Dom Joaquim,2017,4602
Dom Silvério,2017,5351
Dom Viçoso,2017,3072
Dona Euzébia,2017,6527
Dores de Campos,2017,10093
Dores de Guanhães,2017,5316
Dores do Indaiá,2017,13923
Dores do Turvo,2017,4437
Doresópolis,2017,1533
Douradoquara,2017,1930
Durandé,2017,7884
Elói Mendes,2017,27730
Engenheiro Caldas,2017,11098
Engenheiro Navarro,2017,7377
Entre Folhas,2017,5443
Entre Rios de Minas,2017,15292
Ervália,2017,19015
Esmeraldas,2017,69010
Espera Feliz,2017,24805
Espinosa,2017,32214
Espírito Santo do Dourado,2017,4712
Estiva,2017,11449
Estrela Dalva,2017,2448
Estrela do Indaiá,2017,3590
Estrela do Sul,2017,7981
Eugenópolis,2017,11285
Ewbank da Câmara,2017,3952
Extrema,2017,34344
Fama,2017,2426
Faria Lemos,2017,3371
Felício dos Santos,2017,5012
São Gonçalo do Rio Preto,2017,3205
Felisburgo,2017,7431
Felixlândia,2017,15273
Fernandes Tourinho,2017,3369
Ferros,2017,10432
Fervedouro,2017,11039
Florestal,2017,7343
Formiga,2017,68423
Formoso,2017,9294
Fortaleza de Minas,2017,4407
Fortuna de Minas,2017,2932
Francisco Badaró,2017,10557
Francisco Dumont,2017,5215
Francisco Sá,2017,26428
Franciscópolis,2017,5672
Frei Gaspar,2017,6024
Frei Inocêncio,2017,9597
Frei Lagonegro,2017,3510
Fronteira,2017,17072
Fronteira dos Vales,2017,4733
Fruta de Leite,2017,5709
Frutal,2017,58770
Funilândia,2017,4277
Galiléia,2017,7034
Gameleiras,2017,5246
Glaucilândia,2017,3160
Goiabeira,2017,3328
Goianá,2017,3952
Gonçalves,2017,4410
Gonzaga,2017,6223
Gouveia,2017,12064
Governador Valadares,2017,280901
Grão Mogol,2017,15931
Grupiara,2017,1418
Guanhães,2017,34054
Guapé,2017,14460
Guaraciaba,2017,10542
Guaraciama,2017,5001
Guaranésia,2017,19378
Guarani,2017,9047
Guarará,2017,3938
Guarda-Mor,2017,6736
Guaxupé,2017,52294
Guidoval,2017,7300
Guimarânia,2017,7956
Guiricema,2017,8714
Gurinhatã,2017,5959
Heliodora,2017,6561
Iapu,2017,10962
Ibertioga,2017,5150
Ibiá,2017,25100
Ibiaí,2017,8400
Ibiracatu,2017,6165
Ibiraci,2017,13575
Ibirité,2017,177475
Ibitiúra de Minas,2017,3536
Ibituruna,2017,3018
Icaraí de Minas,2017,11835
Igarapé,2017,41127
Igaratinga,2017,10547
Iguatama,2017,8172
Ijaci,2017,6460
Ilicínea,2017,12358
Imbé de Minas,2017,6899
Inconfidentes,2017,7356
Indaiabira,2017,7524
Indianópolis,2017,6806
Ingaí,2017,2785
Inhapim,2017,24792
Inhaúma,2017,6240
Inimutaba,2017,7489
Ipaba,2017,18375
Ipanema,2017,19736
Ipatinga,2017,261203
Ipiaçu,2017,4285
Ipuiúna,2017,10125
Iraí de Minas,2017,6969
Itabira,2017,119285
Itabirinha,2017,11498
Itabirito,2017,50816
Itacambira,2017,5374
Itacarambi,2017,18443
Itaguara,2017,13329
Itaipé,2017,12725
Itajubá,2017,97000
Itamarandiba,2017,34661
Itamarati de Minas,2017,4362
Itambacuri,2017,23637
Itambé do Mato Dentro,2017,2207
Itamogi,2017,10501
Itamonte,2017,15391
Itanhandu,2017,15290
Itanhomi,2017,12394
Itaobim,2017,21559
Itapagipe,2017,15041
Itapecerica,2017,22158
Itapeva,2017,9618
Itatiaiuçu,2017,10979
Itaú de Minas,2017,16082
Itaúna,2017,92696
Itaverava,2017,5690
Itinga,2017,15147
Itueta,2017,6120
Ituiutaba,2017,104526
Itumirim,2017,6213
Iturama,2017,38484
Itutinga,2017,3926
Jaboticatubas,2017,19545
Jacinto,2017,12561
Jacuí,2017,7809
Jacutinga,2017,25453
Jaguaraçu,2017,3158
Jaíba,2017,37939
Jampruca,2017,5414
Janaúba,2017,71653
Januária,2017,68584
Japaraíba,2017,4308
Japonvar,2017,8683
Jeceaba,2017,5209
Jenipapo de Minas,2017,7672
Jequeri,2017,12859
Jequitaí,2017,7890
Jequitibá,2017,5319
Jequitinhonha,2017,25560
Jesuânia,2017,4898
Joaíma,2017,15634
Joanésia,2017,4996
João Monlevade,2017,79590
João Pinheiro,2017,48751
Joaquim Felício,2017,4669
Jordânia,2017,10901
José Gonçalves de Minas,2017,4631
José Raydan,2017,4894
Josenópolis,2017,4877
Nova União,2017,5804
Juatuba,2017,25874
Juiz de Fora,2017,563769
Juramento,2017,4358
Juruaia,2017,10341
Juvenília,2017,5860
Ladainha,2017,18152
Lagamar,2017,7795
Lagoa da Prata,2017,51204
Lagoa dos Patos,2017,4248
Lagoa Dourada,2017,13056
Lagoa Formosa,2017,18175
Lagoa Grande,2017,9440
Lagoa Santa,2017,61752
Lajinha,2017,20301
Lambari,2017,20870
Lamim,2017,3498
Laranjal,2017,6852
Lassance,2017,6664
Lavras,2017,102124
Leandro Ferreira,2017,3300
Leme do Prado,2017,4998
Leopoldina,2017,53354
Liberdade,2017,5296
Lima Duarte,2017,16910
Limeira do Oeste,2017,7487
Lontra,2017,9044
Luisburgo,2017,6409
Luislândia,2017,6756
Luminárias,2017,5572
Luz,2017,18400
Machacalis,2017,7237
Machado,2017,41920
Madre de Deus de Minas,2017,5153
Malacacheta,2017,19157
Mamonas,2017,6624
Manga,2017,19372
Manhuaçu,2017,88580
Manhumirim,2017,22784
Mantena,2017,28132
Maravilhas,2017,7876
Mar de Espanha,2017,12743
Maria da Fé,2017,14488
Mariana,2017,59857
Marilac,2017,4254
Mário Campos,2017,14988
Maripá de Minas,2017,2979
Marliéria,2017,4129
Marmelópolis,2017,2900
Martinho Campos,2017,13436
Martins Soares,2017,8172
Mata Verde,2017,8539
Materlândia,2017,4619
Mateus Leme,2017,30678
Matias Barbosa,2017,14449
Matias Cardoso,2017,10999
Matipó,2017,18914
Mato Verde,2017,12849
Matozinhos,2017,37344
Matutina,2017,3846
Medeiros,2017,3765
Medina,2017,21409
Mendes Pimentel,2017,6564
Mercês,2017,10868
Mesquita,2017,5911
Minas Novas,2017,32009
Minduri,2017,3970
Mirabela,2017,13726
Miradouro,2017,10837
Miraí,2017,14946
Miravânia,2017,4885
Moeda,2017,4957
Moema,2017,7525
Monjolos,2017,2327
Monsenhor Paulo,2017,8711
Montalvânia,2017,15603
Monte Alegre de Minas,2017,21095
Monte Azul,2017,21783
Monte Belo,2017,13453
Monte Carmelo,2017,48248
Monte Formoso,2017,4936
Monte Santo de Minas,2017,21949
Montes Claros,2017,402027
Monte Sião,2017,23444
Montezuma,2017,8168
Morada Nova de Minas,2017,8860
Morro da Garça,2017,2595
Morro do Pilar,2017,3339
Munhoz,2017,6261
Muriaé,2017,108537
Mutum,2017,27528
Muzambinho,2017,21026
Nacip Raydan,2017,3274
Nanuque,2017,41787
Naque,2017,6930
Natalândia,2017,3382
Natércia,2017,4820
Nazareno,2017,8583
Nepomuceno,2017,27053
Ninheira,2017,10375
Nova Belém,2017,3465
Nova Era,2017,17994
Nova Lima,2017,92178
Nova Módica,2017,3757
Nova Ponte,2017,14934
Nova Porteirinha,2017,7648
Nova Resende,2017,16645
Nova Serrana,2017,94681
Novo Cruzeiro,2017,31884
Novo Oriente de Minas,2017,10869
Novorizonte,2017,5308
Olaria,2017,1873
Olhos-d'Água,2017,5943
Olímpio Noronha,2017,2763
Oliveira,2017,41907
Oliveira Fortes,2017,2182
Onça de Pitangui,2017,3192
Oratórios,2017,4710
Orizânia,2017,7949
Ouro Branco,2017,38935
Ouro Fino,2017,33716
Ouro Preto,2017,74659
Ouro Verde de Minas,2017,6110
Padre Carvalho,2017,6338
Padre Paraíso,2017,20177
Paineiras,2017,4650
Pains,2017,8391
Pai Pedro,2017,6184
Paiva,2017,1577
Palma,2017,6753
Palmópolis,2017,6161
Papagaios,2017,15516
Paracatu,2017,92386
Pará de Minas,2017,92739
Paraguaçu,2017,21583
Paraisópolis,2017,20983
Paraopeba,2017,24427
Passabém,2017,1732
Passa Quatro,2017,16470
Passa Tempo,2017,8324
Passa Vinte,2017,2104
Passos,2017,114458
Patis,2017,5976
Patos de Minas,2017,150893
Patrocínio,2017,89983
Patrocínio do Muriaé,2017,5680
Paula Cândido,2017,9698
Paulistas,2017,4982
Pavão,2017,8709
Peçanha,2017,17871
Pedra Azul,2017,24748
Pedra Bonita,2017,7117
Pedra do Anta,2017,3270
Pedra do Indaiá,2017,4034
Pedra Dourada,2017,2452
Pedralva,2017,11570
Pedras de Maria da Cruz,2017,11396
Pedrinópolis,2017,3672
Pedro Leopoldo,2017,63837
Pedro Teixeira,2017,1843
Pequeri,2017,3347
Pequi,2017,4395
Perdigão,2017,10846
Perdizes,2017,15925
Perdões,2017,21444
Periquito,2017,7060
Pescador,2017,4311
Piau,2017,2850
Piedade de Caratinga,2017,8247
Piedade de Ponte Nova,2017,4213
Piedade do Rio Grande,2017,4684
Piedade dos Gerais,2017,4981
Pimenta,2017,8720
Pingo-d'Água,2017,4873
Pintópolis,2017,7585
Piracema,2017,6566
Pirajuba,2017,5790
Piranga,2017,17918
Piranguçu,2017,5514
Piranguinho,2017,8597
Pirapetinga,2017,10876
Pirapora,2017,56706
Piraúba,2017,11080
Pitangui,2017,27706
Piumhi,2017,34525
Planura,2017,11796
Poço Fundo,2017,16903
Poços de Caldas,2017,166085
Pocrane,2017,8841
Pompéu,2017,31612
Ponte Nova,2017,60361
Ponto Chique,2017,4259
Ponto dos Volantes,2017,12138
Porteirinha,2017,38741
Porto Firme,2017,11245
Poté,2017,16641
Pouso Alegre,2017,147137
Pouso Alto,2017,6185
Prados,2017,9021
Prata,2017,27796
Pratápolis,2017,8890
Pratinha,2017,3569
Presidente Bernardes,2017,5562
Presidente Juscelino,2017,3827
Presidente Kubitschek,2017,3061
Presidente Olegário,2017,19599
Alto Jequitibá,2017,8522
Prudente de Morais,2017,10577
Quartel Geral,2017,3557
Queluzito,2017,1958
Raposos,2017,16390
Raul Soares,2017,24368
Recreio,2017,10697
Reduto,2017,7117
Resende Costa,2017,11569
Resplendor,2017,17715
Ressaquinha,2017,4861
Riachinho,2017,8290
Riacho dos Machados,2017,9672
Ribeirão das Neves,2017,328871
Ribeirão Vermelho,2017,4058
Rio Acima,2017,10123
Rio Casca,2017,14130
Rio Doce,2017,2623
Rio do Prado,2017,5302
Rio Espera,2017,5825
Rio Manso,2017,5774
Rio Novo,2017,9084
Rio Paranaíba,2017,12462
Rio Pardo de Minas,2017,31016
Rio Piracicaba,2017,14624
Rio Pomba,2017,18061
Rio Preto,2017,5544
Rio Vermelho,2017,13453
Ritápolis,2017,4834
Rochedo de Minas,2017,2293
Rodeiro,2017,7857
Romaria,2017,3644
Rosário da Limeira,2017,4580
Rubelita,2017,6789
Rubim,2017,10377
Sabará,2017,135968
Sabinópolis,2017,15936
Sacramento,2017,25998
Salinas,2017,41678
Salto da Divisa,2017,7127
Santa Bárbara,2017,30690
Santa Bárbara do Leste,2017,8180
Santa Bárbara do Monte Verde,2017,3096
Santa Bárbara do Tugúrio,2017,4590
Santa Cruz de Minas,2017,8547
Santa Cruz de Salinas,2017,4337
Santa Cruz do Escalvado,2017,4960
Santa Efigênia de Minas,2017,4587
Santa Fé de Minas,2017,3985
Santa Helena de Minas,2017,6410
Santa Juliana,2017,13380
Santa Luzia,2017,218897
Santa Margarida,2017,16173
Santa Maria de Itabira,2017,11007
Santa Maria do Salto,2017,5381
Santa Maria do Suaçuí,2017,14896
Santana da Vargem,2017,7322
Santana de Cataguases,2017,3876
Santana de Pirapama,2017,7965
Santana do Deserto,2017,4032
Santana do Garambéu,2017,2436
Santana do Jacaré,2017,4861
Santana do Manhuaçu,2017,8853
Santana do Paraíso,2017,32828
Santana do Riacho,2017,4301
Santana dos Montes,2017,3887
Santa Rita de Caldas,2017,9198
Santa Rita de Jacutinga,2017,5043
Santa Rita de Minas,2017,7149
Santa Rita de Ibitipoca,2017,3566
Santa Rita do Itueto,2017,5699
Santa Rita do Sapucaí,2017,42324
Santa Rosa da Serra,2017,3386
Santa Vitória,2017,19646
Santo Antônio do Amparo,2017,18553
Santo Antônio do Aventureiro,2017,3668
Santo Antônio do Grama,2017,4071
Santo Antônio do Itambé,2017,4040
Santo Antônio do Jacinto,2017,11977
Santo Antônio do Monte,2017,28115
Santo Antônio do Retiro,2017,7339
Santo Antônio do Rio Abaixo,2017,1813
Santo Hipólito,2017,3218
Santos Dumont,2017,47561
São Bento Abade,2017,5159
São Brás do Suaçuí,2017,3747
São Domingos das Dores,2017,5697
São Domingos do Prata,2017,17787
São Félix de Minas,2017,3458
São Francisco,2017,56805
São Francisco de Paula,2017,6673
São Francisco de Sales,2017,6224
São Francisco do Glória,2017,5085
São Geraldo,2017,11905
São Geraldo da Piedade,2017,4214
São Geraldo do Baixio,2017,3920
São Gonçalo do Abaeté,2017,6898
São Gonçalo do Pará,2017,11985
São Gonçalo do Rio Abaixo,2017,10773
São Gonçalo do Sapucaí,2017,25517
São Gotardo,2017,35016
São João Batista do Glória,2017,7431
São João da Lagoa,2017,4942
São João da Mata,2017,2811
São João da Ponte,2017,25856
São João das Missões,2017,12862
São João del Rei,2017,90263
São João do Manhuaçu,2017,11367
São João do Manteninha,2017,5759
São João do Oriente,2017,7819
São João do Pacuí,2017,4396
São João do Paraíso,2017,23729
São João Evangelista,2017,16083
São João Nepomuceno,2017,26538
São Joaquim de Bicas,2017,30160
São José da Barra,2017,7374
São José da Lapa,2017,22910
São José da Safira,2017,4303
São José da Varginha,2017,4834
São José do Alegre,2017,4228
São José do Divino,2017,3946
São José do Goiabal,2017,5633
São José do Jacuri,2017,6650
São José do Mantimento,2017,2787
São Lourenço,2017,45457
São Miguel do Anta,2017,7045
São Pedro da União,2017,4911
São Pedro dos Ferros,2017,8181
São Pedro do Suaçuí,2017,5494
São Romão,2017,11892
São Roque de Minas,2017,7092
São Sebastião da Bela Vista,2017,5438
São Sebastião da Vargem Alegre,2017,3006
São Sebastião do Anta,2017,6419
