ID,Bairro,Casos,Media Casos Vizinhos,Desvio Casos Vizinhos,Diferenca Percentual
83,JARDIM NOVA AMERICA,65.0,24.0,24.097026095903757,170.83332621527808
84,JARDIM PRIMAVERA,14.0,5.4,6.7111846942250075,159.25922976680928
85,JARDIM REAL,6.0,6.0,0.0,0.0
86,JARDIM ZONA SUL,6.0,83.0,0.0,-92.77108321962551
87,JARDINOPOLIS,83.0,4.0,4.049691346263317,1974.9995062501234
88,JARDM DAS OLIVEIRAS,0.0,7.0,0.0,-99.99998571428776
89,JOAO PAULO II,9.0,8.25,3.960744879438715,9.09090798898085
90,JOSE ANTONIO GONCALVES,4.0,43.5,22.5,-90.80459561368747
91,JUSA FONSECA,44.0,16.6,14.759403781996074,165.060231020468
92,JUSCELINO KUBISTCHEK,3.0,18.5,18.607794065928395,-83.78377925493085
93,JUSSARA,0.0,92.0,88.42322470180935,-99.9999989130435
94,LAGOA DOS MANDARINS,22.0,31.5,26.5,-30.15872920131018
95,LAGOA PARK,1.0,66.0,0.0,-98.48484699265384
96,LEVINDO DE PAULA PEREIRA,25.0,31.0,39.6316371938716,-19.354838085327803
97,LIBERDADE,9.0,40.6,46.05475002646307,-77.83251039821404
98,MANGABEIRAS,44.0,70.66666666666667,44.4547210341289,-37.73584852260593
99,MANOEL VALINHAS,76.0,21.5,27.110883423451916,253.48836030286694
100,MAR E TERRA,4.0,35.333333333333336,25.289435651187546,-88.67924277322898
101,MARAJO,21.0,18.428571428571427,20.8864764371395,13.953487614927038
102,MARIA HELENA,23.0,48.75,32.37572393013012,-52.82051173701514
103,MARIA PECANHA,27.0,13.0,14.352700094407323,107.69229940828467
104,MARISA PARDINI,2.0,7.0,0.0,-71.42856122449125
105,MORADA NOVA,67.0,88.0,71.3049787883006,-23.86363609245868
106,MORUMBI,13.0,9.4,5.748043145279966,38.297868266184224
107,NACOES,91.0,48.666666666666664,28.54625875467552,86.98629958247331
108,NILDA BARROS,26.0,17.5,12.5,48.57142579591852
109,NITEROI,162.0,213.2,270.6853523927735,-24.01500926822228
110,NOSSA SENHORA DA CONCEICAO,17.0,33.6,49.52817380037346,-49.40476043438213
111,NOSSA SENHORA DAS GRACAS,86.0,48.0,48.43036237733515,79.16666501736115
112,NOSSA SENHORA DE LOURDES,1.0,22.666666666666668,15.871007809489885,-95.5882310769898
113,NOVA FORTALEZA,49.0,5.666666666666667,4.0276819911981905,764.705747404868
114,NOVA HOLANDA,35.0,11.166666666666666,12.280291346525765,213.43281670750898
115,NOVA SUICA,6.0,12.75,7.790218225441442,-52.941172318339426
116,NOVA VISTA,0.0,64.66666666666667,2.6246692913372702,-99.99999845360827
117,NOVA VISTA ,0.0,216.0,0.0,-99.99999953703704
118,NOVO PARAISO,7.0,26.6,19.189580506097574,-73.6842077562328
119,OLIVEIRAS,0.0,52.0,56.71566509057852,-99.99999807692312
120,ORION,42.0,33.42857142857143,26.60750239450275,25.641024873986428
121,OSWALDO MACHADO GONTIJO,9.0,11.666666666666666,4.4969125210773475,-22.85714089795935
122,PADRE EUSTAQUIO,51.0,42.2,21.36726468221892,20.853080074571555
123,PADRE HERCULANO,7.0,22.0,1.0,-68.18181508264477
124,PADRE LIBERIO,39.0,132.0,0.0,-70.4545449207989
125,PARAISO,37.0,16.0,16.29197874503191,131.24999179687552
126,PLANALTO,51.0,43.2,3.919183588453085,18.055555137602884
127,PONTE FUNDA,59.0,72.0,41.563204881240814,-18.055555304783955
128,PORTO VELHO,159.0,205.0,245.97289823609972,-22.439024280785247
129,PRIMAVERA,7.0,19.0,12.083045973594572,-63.15789141274255
130,PROGRESSO,1.0,23.0,0.0,-95.65216975425348
131,QUINTA DAS PALMEIRAS,6.0,22.0,12.0,-72.72726942148775
132,QUINTINO,30.0,15.666666666666666,8.576453553512405,91.48935586238154
133,RANCHO ALEGRE,26.0,21.5,14.5,20.930231584640392
134,REALENGO,44.0,47.4,84.50230766079704,-7.172995629261693
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0.0,49.0,0.0,-99.99999795918372
136,SAGRADA FAMILIA,26.0,62.4,30.31567251439427,-58.33333239850429
137,SANTA CLARA,68.0,198.0,277.19379502434754,-65.65656532496685
138,SANTA CRUZ,17.0,3.75,5.931905258852336,353.3332391111362
139,SANTA LUCIA,66.0,24.285714285714285,20.05502634335475,171.76469880968887
140,SANTA LUZIA,43.0,94.75,33.1841453106751,-54.617413671584025
141,SANTA MARTHA,7.0,35.25,55.97934887081128,-80.14184169810379
142,SANTA ROSA,107.0,42.5,28.96981187374195,151.76470231141877
143,SANTA TEREZA,29.0,53.0,49.40445324057337,-45.283018013527965
144,SANTO ANDRE,9.0,6.75,4.493050188902857,33.33332839506246
145,SANTO ANTONIO,45.0,62.333333333333336,17.46106780494506,-27.807486184906644
146,SANTO ANTONIO DOS CAMPOS,1.0,5.714285714285714,6.942915931555923,-82.49998556250252
147,SANTOS DUMONT,24.0,12.0,16.268579122549905,99.99999166666737
148,SAO BENTO,2.0,50.0,13.0,-95.99999808000005
149,SAO CAETANO,8.0,19.666666666666668,27.10883414846328,-59.32203088193063
150,SAO CRISTOVAO,1.0,83.0,0.0,-98.79517953258821
151,SAO DOMINGOS,9.0,4.25,3.418698582794336,111.76467958478126
152,SAO FREI GALVAO,18.0,9.25,6.977642868476432,94.59458436815305
153,SAO GERALDO,9.0,12.75,11.903255857117413,-29.411762399077464
154,SAO JOAO DE DEUS,86.0,150.33333333333334,14.429907214608907,-42.79379128962002
155,SAO JOSE,97.0,80.375,63.22961628066392,20.684292122123892
156,SAO JUDAS TADEU,66.0,45.72727272727273,61.99426793017518,44.33399505432616
157,SAO LUCAS,12.0,16.0,11.343133018115703,-24.999998437500096
158,SAO LUIZ,47.0,73.66666666666667,62.49444419750892,-36.19909453123402
159,SAO MIGUEL,43.0,81.33333333333333,58.61929905945842,-47.13114696150229
160,SAO PAULO,1.0,9.5,10.012492197250394,-89.47367479224476
161,SAO ROQUE,0.0,87.0,0.0,-99.99999885057474
162,SAO SEBASTIAO,27.0,46.833333333333336,45.53173496462537,-42.34875354415473
163,SAO SIMAO,20.0,9.6,5.817215828899594,108.3333220486123
164,SAVASSI,7.0,1.0,0.0,599.9994000006001
165,SERRA VERDE,9.0,17.333333333333332,15.084944665313012,-48.07692030325459
166,SION,21.0,28.666666666666668,9.977753031397176,-26.744185113574943
167,TERRA AZUL,33.0,17.5,8.139410298049853,88.57142351020435
168,TIETE,37.0,27.5,19.345542122153102,34.545453289256244
169,TOTONHO CARVALHO,0.0,13.4,15.67928569801571,-99.999992537314
170,UNIVERSITARIO,5.0,36.5,26.995369973386175,-86.30136749859267
171,VALE DO SOL,39.0,55.25,25.232667318379164,-29.411764173542732
172,VILA BELO HORIZONTE,49.0,177.16666666666666,258.4630319579357,-72.34242668480286
173,VILA CASTELO,0.0,2.0,0.0,-99.999950000025
174,VILA CENTRAL DO DIVINO,0.0,260.6666666666667,343.95962295336676,-99.99999961636829
175,VILA CRUZEIRO,26.0,110.5,241.97055606002974,-76.4705875432526
176,VILA DAS OLIVEIRAS,0.0,132.0,0.0,-99.99999924242425
177,VILA DAS ROSEIRAS,63.0,26.5,24.5,137.73584385902475
178,VILA MINAS GERAIS,0.0,223.0,303.7861089648439,-99.9999995515695
179,VILA RICA,0.0,76.0,0.0,-99.99999868421054
180,VILA RICA ,0.0,9.0,0.0,-99.99998888889013
181,VILA ROMANA,21.0,74.66666666666667,50.559096335102964,-71.8749990373884
182,VILA ROSEIRAS,2.0,66.0,0.0,-96.96969550045917
183,VILA SANTO ANDRE,6.0,5.0,4.0,19.9999960000008
184,VISTA ALEGRE,9.0,11.6,16.572265988693278,-22.413791171224897
185,VIVENDAS DA EXPOSICAO,1.0,8.5,8.578072821638514,-88.23528373702545
186,WALCHIR RESENDE,5.0,15.5,9.5,-67.7419311134238
187,XAVANTE,6.0,5.0,0.0,19.9999960000008
188,YANES,0.0,25.4,21.19056393775305,-99.99999606299228
