ID,Bairro,Comunidade Girvan-Newman,Comunidade Louvain,Comunidade Label Propagation,Comunidade Leiden
147,SANTOS DUMONT,0,6,0,3
148,SAO BENTO,0,0,32,1
149,SAO CAETANO,1,13,24,10
150,SAO CRISTOVAO,1,14,8,8
151,SAO DOMINGOS,1,5,33,0
152,SAO FREI GALVAO,1,10,12,6
153,SAO GERALDO,0,8,19,5
154,SAO JOAO DE DEUS,0,6,5,3
155,SAO JOSE,0,5,10,2
156,SAO JUDAS TADEU,1,5,14,0
157,SAO LUCAS,0,8,19,5
158,SAO LUIZ,0,8,25,5
159,SAO MIGUEL,0,5,10,2
160,SAO PAULO,1,5,33,0
161,SAO ROQUE,0,1,7,2
162,SAO SEBASTIAO,0,1,1,7
163,SAO SIMAO,1,10,12,6
164,SAVASSI,1,10,12,6
165,SERRA VERDE,0,4,4,4
166,SION,0,11,7,2
167,TERRA AZUL,0,6,0,3
168,TIETE,0,11,7,2
169,TOTONHO CARVALHO,5,9,20,9
170,UNIVERSITARIO,0,8,22,5
171,VALE DO SOL,0,0,18,1
172,VILA BELO HORIZONTE,0,1,7,2
173,VILA CASTELO,1,5,14,0
174,VILA CENTRAL DO DIVINO,0,1,1,7
175,VILA CRUZEIRO,0,1,1,7
176,VILA DAS OLIVEIRAS,0,4,1,4
177,VILA DAS ROSEIRAS,0,0,32,1
178,VILA MINAS GERAIS,0,1,1,7
179,VILA RICA,0,8,16,5
180,VILA RICA ,0,8,19,5
181,VILA ROMANA,0,8,17,5
182,VILA ROSEIRAS,0,0,18,1
183,VILA SANTO ANDRE,1,5,33,0
184,VISTA ALEGRE,5,9,20,9
185,VIVENDAS DA EXPOSICAO,1,5,33,0
186,WALCHIR RESENDE,0,11,34,2
187,XAVANTE,0,11,34,2
188,YANES,1,5,14,0
