Município,Ano,RISP,RMBH,Número de Vítimas
AIMORES,2019,8º RISP - Governador Valadares,3) Interior de MG,138
AIMORES,2020,8º Departamento - Governador Valadares,3) Interior de MG,117
AIMORES,2021,8º Departamento - Governador Valadares,3) Interior de MG,201
AIURUOCA,2014,17º RISP - Pouso Alegre,3) Interior de MG,16
AIURUOCA,2015,17º RISP - Pouso Alegre,3) Interior de MG,19
AIURUOCA,2016,17º RISP - Pouso Alegre,3) Interior de MG,12
AIURUOCA,2017,17º RISP - Pouso Alegre,3) Interior de MG,18
AIURUOCA,2018,17º RISP - Pouso Alegre,3) Interior de MG,19
AIURUOCA,2019,17º RISP - Pouso Alegre,3) Interior de MG,19
AIURUOCA,2020,17º Departamento - Pouso Alegre,3) Interior de MG,17
AIURUOCA,2021,17º Departamento - Pouso Alegre,3) Interior de MG,23
ALAGOA,2014,17º RISP - Pouso Alegre,3) Interior de MG,9
ALAGOA,2015,17º RISP - Pouso Alegre,3) Interior de MG,3
ALAGOA,2016,17º RISP - Pouso Alegre,3) Interior de MG,3
ALAGOA,2017,17º RISP - Pouso Alegre,3) Interior de MG,4
ALAGOA,2018,17º RISP - Pouso Alegre,3) Interior de MG,5
ALAGOA,2019,17º RISP - Pouso Alegre,3) Interior de MG,8
ALAGOA,2020,17º Departamento - Pouso Alegre,3) Interior de MG,4
ALAGOA,2021,17º Departamento - Pouso Alegre,3) Interior de MG,5
ALBERTINA,2014,17º RISP - Pouso Alegre,3) Interior de MG,22
ALBERTINA,2015,17º RISP - Pouso Alegre,3) Interior de MG,19
ALBERTINA,2016,17º RISP - Pouso Alegre,3) Interior de MG,16
ALBERTINA,2017,17º RISP - Pouso Alegre,3) Interior de MG,13
ALBERTINA,2018,17º RISP - Pouso Alegre,3) Interior de MG,11
ALBERTINA,2019,17º RISP - Pouso Alegre,3) Interior de MG,14
ALBERTINA,2020,17º Departamento - Pouso Alegre,3) Interior de MG,14
ALBERTINA,2021,17º Departamento - Pouso Alegre,3) Interior de MG,19
ALEM PARAIBA,2014,4º RISP - Juiz de Fora,3) Interior de MG,263
ALEM PARAIBA,2015,4º RISP - Juiz de Fora,3) Interior de MG,229
ALEM PARAIBA,2016,4º RISP - Juiz de Fora,3) Interior de MG,233
ALEM PARAIBA,2017,4º RISP - Juiz de Fora,3) Interior de MG,191
ALEM PARAIBA,2018,4º RISP - Juiz de Fora,3) Interior de MG,183
ALEM PARAIBA,2019,4º RISP - Juiz de Fora,3) Interior de MG,174
ALEM PARAIBA,2020,4º Departamento - Juiz de Fora,3) Interior de MG,174
ALEM PARAIBA,2021,4º Departamento - Juiz de Fora,3) Interior de MG,141
ALFENAS,2014,18º RISP - Poços de Caldas,3) Interior de MG,733
ALFENAS,2015,18º RISP - Poços de Caldas,3) Interior de MG,622
ALFENAS,2016,18º RISP - Poços de Caldas,3) Interior de MG,604
ALFENAS,2017,18º RISP - Poços de Caldas,3) Interior de MG,655
ALFENAS,2018,18º RISP - Poços de Caldas,3) Interior de MG,712
ALFENAS,2019,18º RISP - Poços de Caldas,3) Interior de MG,762
ALFENAS,2020,18º Departamento - Poços de Caldas,3) Interior de MG,733
ALFENAS,2021,18º Departamento - Poços de Caldas,3) Interior de MG,642
ALFREDO VASCONCELOS,2014,13º RISP - Barbacena,3) Interior de MG,42
ALFREDO VASCONCELOS,2015,13º RISP - Barbacena,3) Interior de MG,47
ALFREDO VASCONCELOS,2016,13º RISP - Barbacena,3) Interior de MG,39
ALFREDO VASCONCELOS,2017,13º RISP - Barbacena,3) Interior de MG,42
ALFREDO VASCONCELOS,2018,13º RISP - Barbacena,3) Interior de MG,49
ALFREDO VASCONCELOS,2019,13º RISP - Barbacena,3) Interior de MG,55
ALFREDO VASCONCELOS,2020,13º Departamento - Barbacena,3) Interior de MG,36
ALFREDO VASCONCELOS,2021,13º Departamento - Barbacena,3) Interior de MG,36
ALMENARA,2014,15º RISP - Teófilo Otoni,3) Interior de MG,573
ALMENARA,2015,15º RISP - Teófilo Otoni,3) Interior de MG,508
ALMENARA,2016,15º RISP - Teófilo Otoni,3) Interior de MG,460
ALMENARA,2017,15º RISP - Teófilo Otoni,3) Interior de MG,374
ALMENARA,2018,15º RISP - Teófilo Otoni,3) Interior de MG,379
ALMENARA,2019,15º RISP - Teófilo Otoni,3) Interior de MG,419
ALMENARA,2020,15º Departamento - Teófilo Otoni,3) Interior de MG,428
ALMENARA,2021,15º Departamento - Teófilo Otoni,3) Interior de MG,425
ALPERCATA,2014,8º RISP - Governador Valadares,3) Interior de MG,66
ALPERCATA,2015,8º RISP - Governador Valadares,3) Interior de MG,53
ALPERCATA,2016,8º RISP - Governador Valadares,3) Interior de MG,67
ALPERCATA,2017,8º RISP - Governador Valadares,3) Interior de MG,62
ALPERCATA,2018,8º RISP - Governador Valadares,3) Interior de MG,49
ALPERCATA,2019,8º RISP - Governador Valadares,3) Interior de MG,54
ALPERCATA,2020,8º Departamento - Governador Valadares,3) Interior de MG,47
ALPERCATA,2021,8º Departamento - Governador Valadares,3) Interior de MG,51
ALPINOPOLIS,2014,18º RISP - Poços de Caldas,3) Interior de MG,81
ALPINOPOLIS,2015,18º RISP - Poços de Caldas,3) Interior de MG,105
ALPINOPOLIS,2016,18º RISP - Poços de Caldas,3) Interior de MG,111
ALPINOPOLIS,2017,18º RISP - Poços de Caldas,3) Interior de MG,89
ALPINOPOLIS,2018,18º RISP - Poços de Caldas,3) Interior de MG,102
ALPINOPOLIS,2019,18º RISP - Poços de Caldas,3) Interior de MG,115
ALPINOPOLIS,2020,18º Departamento - Poços de Caldas,3) Interior de MG,129
ALPINOPOLIS,2021,18º Departamento - Poços de Caldas,3) Interior de MG,95
ALTEROSA,2014,18º RISP - Poços de Caldas,3) Interior de MG,114
ALTEROSA,2015,18º RISP - Poços de Caldas,3) Interior de MG,109
ALTEROSA,2016,18º RISP - Poços de Caldas,3) Interior de MG,90
ALTEROSA,2017,18º RISP - Poços de Caldas,3) Interior de MG,112
ALTEROSA,2018,18º RISP - Poços de Caldas,3) Interior de MG,107
ALTEROSA,2019,18º RISP - Poços de Caldas,3) Interior de MG,97
ALTEROSA,2020,18º Departamento - Poços de Caldas,3) Interior de MG,97
ALTEROSA,2021,18º Departamento - Poços de Caldas,3) Interior de MG,73
ALTO CAPARAO,2014,12º RISP - Ipatinga,3) Interior de MG,37
ALTO CAPARAO,2015,12º RISP - Ipatinga,3) Interior de MG,38
ALTO CAPARAO,2016,12º RISP - Ipatinga,3) Interior de MG,22
ALTO CAPARAO,2017,12º RISP - Ipatinga,3) Interior de MG,18
ALTO CAPARAO,2018,12º RISP - Ipatinga,3) Interior de MG,29
ALTO CAPARAO,2019,12º RISP - Ipatinga,3) Interior de MG,26
ALTO CAPARAO,2020,12º Departamento - Ipatinga,3) Interior de MG,27
ALTO CAPARAO,2021,12º Departamento - Ipatinga,3) Interior de MG,34
ALTO JEQUITIBA,2014,12º RISP - Ipatinga,3) Interior de MG,44
ALTO JEQUITIBA,2015,12º RISP - Ipatinga,3) Interior de MG,30
ALTO JEQUITIBA,2016,12º RISP - Ipatinga,3) Interior de MG,26
ALTO JEQUITIBA,2017,12º RISP - Ipatinga,3) Interior de MG,31
ALTO JEQUITIBA,2018,12º RISP - Ipatinga,3) Interior de MG,42
ALTO JEQUITIBA,2019,12º RISP - Ipatinga,3) Interior de MG,42
ALTO JEQUITIBA,2020,12º Departamento - Ipatinga,3) Interior de MG,44
ALTO JEQUITIBA,2021,12º Departamento - Ipatinga,3) Interior de MG,58
ALTO RIO DOCE,2014,13º RISP - Barbacena,3) Interior de MG,47
ALTO RIO DOCE,2015,13º RISP - Barbacena,3) Interior de MG,57
ALTO RIO DOCE,2016,13º RISP - Barbacena,3) Interior de MG,71
ALTO RIO DOCE,2017,13º RISP - Barbacena,3) Interior de MG,71
ALTO RIO DOCE,2018,13º RISP - Barbacena,3) Interior de MG,75
ALTO RIO DOCE,2019,13º RISP - Barbacena,3) Interior de MG,81
ALTO RIO DOCE,2020,13º Departamento - Barbacena,3) Interior de MG,43
ALTO RIO DOCE,2021,13º Departamento - Barbacena,3) Interior de MG,51
ALVARENGA,2014,8º RISP - Governador Valadares,3) Interior de MG,6
ALVARENGA,2015,8º RISP - Governador Valadares,3) Interior de MG,12
ALVARENGA,2016,8º RISP - Governador Valadares,3) Interior de MG,13
ALVARENGA,2017,8º RISP - Governador Valadares,3) Interior de MG,18
ALVARENGA,2018,8º RISP - Governador Valadares,3) Interior de MG,21
ALVARENGA,2019,8º RISP - Governador Valadares,3) Interior de MG,10
ALVARENGA,2020,8º Departamento - Governador Valadares,3) Interior de MG,12
ALVARENGA,2021,8º Departamento - Governador Valadares,3) Interior de MG,13
ALVINOPOLIS,2014,12º RISP - Ipatinga,3) Interior de MG,63
ALVINOPOLIS,2015,12º RISP - Ipatinga,3) Interior de MG,81
ALVINOPOLIS,2016,12º RISP - Ipatinga,3) Interior de MG,90
ALVINOPOLIS,2017,12º RISP - Ipatinga,3) Interior de MG,64
ALVINOPOLIS,2018,12º RISP - Ipatinga,3) Interior de MG,82
ALVINOPOLIS,2019,12º RISP - Ipatinga,3) Interior de MG,71
ALVINOPOLIS,2020,12º Departamento - Ipatinga,3) Interior de MG,79
ALVINOPOLIS,2021,12º Departamento - Ipatinga,3) Interior de MG,77
ALVORADA DE MINAS,2014,14º RISP - Curvelo,3) Interior de MG,44
ALVORADA DE MINAS,2015,14º RISP - Curvelo,3) Interior de MG,36
ALVORADA DE MINAS,2016,14º RISP - Curvelo,3) Interior de MG,33
ALVORADA DE MINAS,2017,14º RISP - Curvelo,3) Interior de MG,27
ALVORADA DE MINAS,2018,14º RISP - Curvelo,3) Interior de MG,31
ALVORADA DE MINAS,2019,14º RISP - Curvelo,3) Interior de MG,41
ALVORADA DE MINAS,2020,14º Departamento - Curvelo,3) Interior de MG,50
ALVORADA DE MINAS,2021,14º Departamento - Curvelo,3) Interior de MG,28
AMPARO DA SERRA,2014,12º RISP - Ipatinga,3) Interior de MG,29
AMPARO DA SERRA,2015,12º RISP - Ipatinga,3) Interior de MG,29
AMPARO DA SERRA,2016,12º RISP - Ipatinga,3) Interior de MG,34
AMPARO DA SERRA,2017,12º RISP - Ipatinga,3) Interior de MG,36
AMPARO DA SERRA,2018,12º RISP - Ipatinga,3) Interior de MG,49
AMPARO DA SERRA,2019,12º RISP - Ipatinga,3) Interior de MG,38
AMPARO DA SERRA,2020,12º Departamento - Ipatinga,3) Interior de MG,43
AMPARO DA SERRA,2021,12º Departamento - Ipatinga,3) Interior de MG,37
ANDRADAS,2014,18º RISP - Poços de Caldas,3) Interior de MG,285
ANDRADAS,2015,18º RISP - Poços de Caldas,3) Interior de MG,300
ANDRADAS,2016,18º RISP - Poços de Caldas,3) Interior de MG,242
ANDRADAS,2017,18º RISP - Poços de Caldas,3) Interior de MG,274
ANDRADAS,2018,18º RISP - Poços de Caldas,3) Interior de MG,262
ANDRADAS,2019,18º RISP - Poços de Caldas,3) Interior de MG,321
ANDRADAS,2020,18º Departamento - Poços de Caldas,3) Interior de MG,297
ANDRADAS,2021,18º Departamento - Poços de Caldas,3) Interior de MG,332
ANDRELANDIA,2014,13º RISP - Barbacena,3) Interior de MG,32
ANDRELANDIA,2015,13º RISP - Barbacena,3) Interior de MG,50
ANDRELANDIA,2016,13º RISP - Barbacena,3) Interior de MG,48
ANDRELANDIA,2017,13º RISP - Barbacena,3) Interior de MG,40
ANDRELANDIA,2018,13º RISP - Barbacena,3) Interior de MG,28
ANDRELANDIA,2019,13º RISP - Barbacena,3) Interior de MG,39
ANDRELANDIA,2020,13º Departamento - Barbacena,3) Interior de MG,49
ANDRELANDIA,2021,13º Departamento - Barbacena,3) Interior de MG,45
ANGELANDIA,2014,14º RISP - Curvelo,3) Interior de MG,57
ANGELANDIA,2015,14º RISP - Curvelo,3) Interior de MG,44
ANGELANDIA,2016,14º RISP - Curvelo,3) Interior de MG,77
ANGELANDIA,2017,14º RISP - Curvelo,3) Interior de MG,38
ANGELANDIA,2018,14º RISP - Curvelo,3) Interior de MG,42
ANGELANDIA,2019,14º RISP - Curvelo,3) Interior de MG,64
