ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
53,FABIO NOTINI,Bairro,2,6,0,2,39.0,BRANCA,ALFABETIZADO
54,FAZENDA DA UZINA,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
55,FLORERMIDA,Bairro,2,43,2,4,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
56,FLORERMIDA ,Bairro,2,0,0,2,-1.0,DESCONHECIDO,DESCONHECIDO
57,FLORESTA,Bairro,2,11,0,2,31.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
58,FONTE BOA,Bairro,2,10,0,3,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
59,FRANCISCO MACHADO FILHO,Bairro,2,0,0,2,-1.0,DESCONHECIDO,DESCONHECIDO
60,GARCIA LEAO,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
61,GERALDO PEREIRA,Bairro,2,8,1,4,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
62,GRAJAU,Bairro,2,10,0,4,35.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
63,GRANJAS DO SHEIK,Bairro,2,2,0,4,39.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
64,HALIM SOUKI,Bairro,2,32,1,6,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
65,HELENO RAMOS FREITAS,Bairro,2,6,0,2,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
66,ICARAI,Bairro,2,58,1,3,36.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
67,INHAME,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
68,INTERLAGOS,Bairro,2,130,2,9,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
69,IPANEMA,Bairro,2,1,0,5,40.0,PARDA,ALFABETIZADO
70,IPIRANGA,Bairro,2,87,2,8,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
71,ITACOLOMI,Bairro,2,5,0,2,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
72,ITAI,Bairro,2,27,3,3,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
73,JARDIM BETANIA,Bairro,2,18,0,1,34.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
74,JARDIM BRASILIA,Bairro,2,1,0,4,30.0,BRANCA,SUPERIOR COMPLETO
75,JARDIM CANDELARIA,Bairro,2,43,2,4,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
76,JARDIM CAPITAO SILVA,Bairro,2,9,0,11,42.0,BRANCA,SUPERIOR COMPLETO
77,JARDIM COPACABANA,Bairro,2,50,2,2,38.0,PARDA,ALFABETIZADO
78,JARDIM DAS ACACIAS,Bairro,2,23,0,5,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
79,JARDIM DAS MANSOES,Bairro,2,9,1,1,30.0,PARDA,ALFABETIZADO
80,JARDIM DAS OLIVEIRAS,Bairro,2,24,0,4,44.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
81,JARDIM DOS CANDIDES,Bairro,2,85,1,4,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
82,JARDIM FLORAMAR,Bairro,2,5,1,2,42.0,PARDA,SUPERIOR COMPLETO
83,JARDIM NOVA AMERICA,Bairro,2,65,0,3,41.0,BRANCA,SUPERIOR COMPLETO
84,JARDIM PRIMAVERA,Bairro,2,14,0,5,54.0,BRANCA,SUPERIOR COMPLETO
85,JARDIM REAL,Bairro,2,6,0,0,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
86,JARDIM ZONA SUL,Bairro,2,6,0,1,24.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU 
87,JARDINOPOLIS,Bairro,2,83,2,5,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
88,JARDM DAS OLIVEIRAS,Bairro,2,0,0,1,-1.0,DESCONHECIDO,DESCONHECIDO
89,JOAO PAULO II,Bairro,2,9,1,4,30.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
90,JOSE ANTONIO GONCALVES,Bairro,2,4,0,2,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
91,JUSA FONSECA,Bairro,2,44,2,5,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
92,JUSCELINO KUBISTCHEK,Bairro,2,3,0,4,34.0,BRANCA,SUPERIOR COMPLETO
93,JUSSARA,Bairro,2,0,0,3,-1.0,DESCONHECIDO,DESCONHECIDO
94,LAGOA DOS MANDARINS,Bairro,2,22,0,2,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
