ID,Bairro,Comunidade Girvan-Newman,Comunidade Louvain,Comunidade Label Propagation,Comunidade Leiden
147,SANTOS DUMONT,0,0,0,6
148,SAO BENTO,0,2,31,2
149,SAO CAETANO,1,13,25,11
150,SAO CRISTOVAO,1,6,26,10
151,SAO DOMINGOS,1,1,32,0
152,SAO FREI GALVAO,1,8,22,5
153,SAO GERALDO,0,11,20,1
154,SAO JOAO DE DEUS,0,0,5,7
155,SAO JOSE,0,3,10,0
156,SAO JUDAS TADEU,1,3,15,0
157,SAO LUCAS,0,11,20,1
158,SAO LUIZ,0,11,18,1
159,SAO MIGUEL,0,3,10,7
160,SAO PAULO,1,1,32,0
161,SAO ROQUE,0,5,7,4
162,SAO SEBASTIAO,0,1,1,8
163,SAO SIMAO,1,8,22,5
164,SAVASSI,1,8,22,5
165,SERRA VERDE,0,4,4,3
166,SION,0,5,7,4
167,TERRA AZUL,0,0,0,6
168,TIETE,0,5,7,4
169,TOTONHO CARVALHO,5,12,21,9
170,UNIVERSITARIO,0,11,18,1
171,VALE DO SOL,0,2,19,2
172,VILA BELO HORIZONTE,0,5,30,4
173,VILA CASTELO,1,3,15,0
174,VILA CENTRAL DO DIVINO,0,1,1,8
175,VILA CRUZEIRO,0,1,1,8
176,VILA DAS OLIVEIRAS,0,4,1,3
177,VILA DAS ROSEIRAS,0,2,31,2
178,VILA MINAS GERAIS,0,1,1,4
179,VILA RICA,0,11,18,1
180,VILA RICA ,0,11,20,1
181,VILA ROMANA,0,11,28,1
182,VILA ROSEIRAS,0,2,19,2
183,VILA SANTO ANDRE,1,1,32,0
184,VISTA ALEGRE,5,12,21,9
185,VIVENDAS DA EXPOSICAO,1,1,32,0
186,WALCHIR RESENDE,0,5,33,4
187,XAVANTE,0,5,33,4
188,YANES,1,3,15,0
