ID,Bairro,PageRank
159,SAO MIGUEL,0.0035365933652776772
116,NOVA VISTA,0.0035209823046906444
83,JARDIM NOVA AMERICA,0.0034461102037155883
60,GARCIA LEAO,0.0033838518690615517
174,VILA CENTRAL DO DIVINO,0.0033670056087055527
177,VILA DAS ROSEIRAS,0.0033490071367576198
148,SAO BENTO,0.0032851494409310744
44,DOUTOR DULPHE PINTO DE AGUIAR,0.003237542331081531
77,JARDIM COPACABANA,0.003229934472283244
65,HELENO RAMOS FREITAS,0.0030647231783350695
32,COSTA AZUL,0.002948067351511094
123,PADRE HERCULANO,0.002904780311273363
183,VILA SANTO ANDRE,0.002885754538813272
71,ITACOLOMI,0.002791787571421595
67,INHAME,0.002780454517310818
23,CHACARAS BOM RETIRO ,0.002780454517310818
22,CHACARAS BOM RETIRO,0.002773880425923333
187,XAVANTE,0.0027249339115495985
90,JOSE ANTONIO GONCALVES,0.002664930219104834
86,JARDIM ZONA SUL,0.002637937642921033
150,SAO CRISTOVAO,0.002637937642921033
56,FLORERMIDA ,0.002637742889128801
24,CHACARAS CAMPO GRANDE,0.002623369795599754
59,FRANCISCO MACHADO FILHO,0.002585368907076035
36,DEL REY,0.0024612171902379976
135,RESIDENCIAL ALTO DAS OLIVEIRAS,0.0023330123454364873
180,VILA RICA ,0.0023124971643061105
73,JARDIM BETANIA,0.002309098036736046
79,JARDIM DAS MANSOES,0.0022505624408829007
10,BELO VALE,0.002200502719227816
20,CHACARAS BEIRA RIO,0.002113509557824299
164,SAVASSI,0.0020913147061292882
88,JARDM DAS OLIVEIRAS,0.002081249441342478
179,VILA RICA,0.002073107864174117
95,LAGOA PARK,0.0020725829598672147
182,VILA ROSEIRAS,0.0020725829598672147
4,ALTO DAS OLIVEIRAS,0.0020624584259347394
130,PROGRESSO,0.002025818750706321
104,MARISA PARDINI,0.001996447436727333
173,VILA CASTELO,0.0019553130696014875
161,SAO ROQUE,0.0018749794249992707
176,VILA DAS OLIVEIRAS,0.0018515543148683476
124,PADRE LIBERIO,0.0018515543148683476
117,NOVA VISTA ,0.00171828675372954
