Município,Ano,População,Número de Vítimas,Índice de Violência,RISP,RMBH,PIB per capita
AIURUOCA,2017,6209.0,18.0,28.990175551618616,17º RISP - Pouso Alegre,3) Interior de MG,14443.31
AIURUOCA,2018,6032.0,19.0,31.498673740053054,17º RISP - Pouso Alegre,3) Interior de MG,15399.39
AIURUOCA,2019,6003.0,19.0,31.650841246043644,17º RISP - Pouso Alegre,3) Interior de MG,16538.34
AIURUOCA,2020,5976.0,17.0,28.447121820615795,17º Departamento - Pouso Alegre,3) Interior de MG,18904.12
AIURUOCA,2021,5949.0,23.0,38.661959993276184,17º Departamento - Pouso Alegre,3) Interior de MG,21608.49
ALAGOA,2014,2764.0,9.0,32.56150506512301,17º RISP - Pouso Alegre,3) Interior de MG,10208.69
ALAGOA,2015,2760.0,3.0,10.869565217391305,17º RISP - Pouso Alegre,3) Interior de MG,10844.8
ALAGOA,2016,2756.0,3.0,10.88534107402032,17º RISP - Pouso Alegre,3) Interior de MG,11413.04
ALAGOA,2017,2752.0,4.0,14.534883720930232,17º RISP - Pouso Alegre,3) Interior de MG,12890.33
ALAGOA,2018,2683.0,5.0,18.635855385762206,17º RISP - Pouso Alegre,3) Interior de MG,13407.17
ALAGOA,2019,2674.0,8.0,29.917726252804787,17º RISP - Pouso Alegre,3) Interior de MG,14702.17
ALAGOA,2020,2665.0,4.0,15.0093808630394,17º Departamento - Pouso Alegre,3) Interior de MG,17285.85
ALAGOA,2021,2657.0,5.0,18.81821603312006,17º Departamento - Pouso Alegre,3) Interior de MG,17958.99
ALBERTINA,2014,3025.0,22.0,72.72727272727273,17º RISP - Pouso Alegre,3) Interior de MG,23742.8
ALBERTINA,2015,3033.0,19.0,62.644246620507744,17º RISP - Pouso Alegre,3) Interior de MG,25261.52
ALBERTINA,2016,3040.0,16.0,52.63157894736842,17º RISP - Pouso Alegre,3) Interior de MG,25807.19
ALBERTINA,2017,3046.0,13.0,42.67892317793828,17º RISP - Pouso Alegre,3) Interior de MG,27812.38
ALBERTINA,2018,3003.0,11.0,36.63003663003663,17º RISP - Pouso Alegre,3) Interior de MG,29659.3
ALBERTINA,2019,3007.0,14.0,46.55803126039242,17º RISP - Pouso Alegre,3) Interior de MG,15748.62
ALBERTINA,2020,3011.0,14.0,46.496180670873464,17º Departamento - Pouso Alegre,3) Interior de MG,35220.82
ALBERTINA,2021,3015.0,19.0,63.018242122719734,17º Departamento - Pouso Alegre,3) Interior de MG,51065.05
ALEM PARAIBA,2014,35641.0,263.0,73.79141999382733,4º RISP - Juiz de Fora,3) Interior de MG,20698.92
ALEM PARAIBA,2015,35720.0,229.0,64.1097424412094,4º RISP - Juiz de Fora,3) Interior de MG,22746.14
ALEM PARAIBA,2016,35795.0,233.0,65.09289006844531,4º RISP - Juiz de Fora,3) Interior de MG,22878.93
ALEM PARAIBA,2017,35866.0,191.0,53.25377795126303,4º RISP - Juiz de Fora,3) Interior de MG,25724.73
ALEM PARAIBA,2018,35321.0,183.0,51.81053764049715,4º RISP - Juiz de Fora,3) Interior de MG,25858.83
ALEM PARAIBA,2019,35362.0,174.0,49.20536168768735,4º RISP - Juiz de Fora,3) Interior de MG,23333.26
ALEM PARAIBA,2020,35401.0,174.0,49.15115392220559,4º Departamento - Juiz de Fora,3) Interior de MG,25408.28
ALEM PARAIBA,2021,35438.0,141.0,39.787798408488065,4º Departamento - Juiz de Fora,3) Interior de MG,27422.83
ALFENAS,2014,78176.0,733.0,93.76279164961113,18º RISP - Poços de Caldas,3) Interior de MG,24933.05
ALFENAS,2015,78712.0,622.0,79.02225835958939,18º RISP - Poços de Caldas,3) Interior de MG,27017.22
ALFENAS,2016,79222.0,604.0,76.24144808260331,18º RISP - Poços de Caldas,3) Interior de MG,28982.74
ALFENAS,2017,79707.0,655.0,82.17596948825071,18º RISP - Poços de Caldas,3) Interior de MG,33425.9
ALFENAS,2018,79481.0,712.0,89.58115776097432,18º RISP - Poços de Caldas,3) Interior de MG,32866.51
ALFENAS,2019,79996.0,762.0,95.2547627381369,18º RISP - Poços de Caldas,3) Interior de MG,32306.15
ALFENAS,2020,80494.0,733.0,91.0626879022039,18º Departamento - Poços de Caldas,3) Interior de MG,33833.91
ALFENAS,2021,80973.0,642.0,79.28568782186655,18º Departamento - Poços de Caldas,3) Interior de MG,43049.74
ALFREDO VASCONCELOS,2014,6566.0,42.0,63.96588486140725,13º RISP - Barbacena,3) Interior de MG,11092.69
ALFREDO VASCONCELOS,2015,6639.0,47.0,70.79379424612141,13º RISP - Barbacena,3) Interior de MG,12229.23
ALFREDO VASCONCELOS,2016,6709.0,39.0,58.130868981964525,13º RISP - Barbacena,3) Interior de MG,13850.55
ALFREDO VASCONCELOS,2017,6775.0,42.0,61.99261992619927,13º RISP - Barbacena,3) Interior de MG,12423.03
ALFREDO VASCONCELOS,2018,6831.0,49.0,71.73181086224565,13º RISP - Barbacena,3) Interior de MG,13880.7
ALFREDO VASCONCELOS,2019,6907.0,55.0,79.62936151730129,13º RISP - Barbacena,3) Interior de MG,17598.93
ALFREDO VASCONCELOS,2020,6981.0,36.0,51.56854318865492,13º Departamento - Barbacena,3) Interior de MG,16859.82
ALFREDO VASCONCELOS,2021,7052.0,36.0,51.04934770277936,13º Departamento - Barbacena,3) Interior de MG,21364.59
ALMENARA,2014,41028.0,573.0,139.66071950862826,15º RISP - Teófilo Otoni,3) Interior de MG,10152.44
ALMENARA,2015,41296.0,508.0,123.01433552886479,15º RISP - Teófilo Otoni,3) Interior de MG,11129.04
ALMENARA,2016,41552.0,460.0,110.70465922217944,15º RISP - Teófilo Otoni,3) Interior de MG,11401.83
ALMENARA,2017,41794.0,374.0,89.48652916686606,15º RISP - Teófilo Otoni,3) Interior de MG,11874.49
ALMENARA,2018,41642.0,379.0,91.01388021708851,15º RISP - Teófilo Otoni,3) Interior de MG,12855.76
ALMENARA,2019,41896.0,419.0,100.00954745083062,15º RISP - Teófilo Otoni,3) Interior de MG,14548.44
ALMENARA,2020,42143.0,428.0,101.55897776617707,15º Departamento - Teófilo Otoni,3) Interior de MG,15009.72
ALMENARA,2021,42380.0,425.0,100.2831524303917,15º Departamento - Teófilo Otoni,3) Interior de MG,15924.96
ALPERCATA,2014,7458.0,66.0,88.49557522123894,8º RISP - Governador Valadares,3) Interior de MG,8513.65
ALPERCATA,2015,7478.0,53.0,70.87456539181599,8º RISP - Governador Valadares,3) Interior de MG,8797.89
ALPERCATA,2016,7497.0,67.0,89.36908096571963,8º RISP - Governador Valadares,3) Interior de MG,10248.58
ALPERCATA,2017,7515.0,62.0,82.50166333998669,8º RISP - Governador Valadares,3) Interior de MG,10478.77
ALPERCATA,2018,7411.0,49.0,66.11793280259074,8º RISP - Governador Valadares,3) Interior de MG,10664.59
ALPERCATA,2019,7424.0,54.0,72.73706896551724,8º RISP - Governador Valadares,3) Interior de MG,11467.46
ALPERCATA,2020,7436.0,47.0,63.206024744486285,8º Departamento - Governador Valadares,3) Interior de MG,11761.31
ALPERCATA,2021,7448.0,51.0,68.47475832438239,8º Departamento - Governador Valadares,3) Interior de MG,12700.99
ALPINOPOLIS,2014,19513.0,81.0,41.5107876800082,18º RISP - Poços de Caldas,3) Interior de MG,14790.79
ALPINOPOLIS,2015,19630.0,105.0,53.48955680081508,18º RISP - Poços de Caldas,3) Interior de MG,15386.13
ALPINOPOLIS,2016,19741.0,111.0,56.228154602097156,18º RISP - Poços de Caldas,3) Interior de MG,17587.04
ALPINOPOLIS,2017,19846.0,89.0,44.8453088783634,18º RISP - Poços de Caldas,3) Interior de MG,17758.23
ALPINOPOLIS,2018,19745.0,102.0,51.658647758926314,18º RISP - Poços de Caldas,3) Interior de MG,18094.4
ALPINOPOLIS,2019,19853.0,115.0,57.92575429406135,18º RISP - Poços de Caldas,3) Interior de MG,20467.44
ALPINOPOLIS,2020,19958.0,129.0,64.63573504359155,18º Departamento - Poços de Caldas,3) Interior de MG,22552.93
ALPINOPOLIS,2021,20059.0,95.0,47.36028715289895,18º Departamento - Poços de Caldas,3) Interior de MG,26133.79
ALTEROSA,2014,14371.0,114.0,79.32642126504767,18º RISP - Poços de Caldas,3) Interior de MG,11728.52
ALTEROSA,2015,14434.0,109.0,75.51614244145767,18º RISP - Poços de Caldas,3) Interior de MG,12388.79
ALTEROSA,2016,14494.0,90.0,62.094659859252104,18º RISP - Poços de Caldas,3) Interior de MG,14679.86
ALTEROSA,2017,14551.0,112.0,76.97065493780497,18º RISP - Poços de Caldas,3) Interior de MG,15027.65
ALTEROSA,2018,14414.0,107.0,74.23338420979603,18º RISP - Poços de Caldas,3) Interior de MG,14769.52
ALTEROSA,2019,14466.0,97.0,67.05378128024333,18º RISP - Poços de Caldas,3) Interior de MG,14816.72
ALTEROSA,2020,14517.0,97.0,66.81821312943445,18º Departamento - Poços de Caldas,3) Interior de MG,16699.12
ALTEROSA,2021,14566.0,73.0,50.11671014691748,18º Departamento - Poços de Caldas,3) Interior de MG,20357.31
ALTO CAPARAO,2014,5655.0,37.0,65.42882404951371,12º RISP - Ipatinga,3) Interior de MG,9950.03
ALTO CAPARAO,2015,5702.0,38.0,66.64328305857595,12º RISP - Ipatinga,3) Interior de MG,12833.96
ALTO CAPARAO,2016,5748.0,22.0,38.274182324286706,12º RISP - Ipatinga,3) Interior de MG,15188.45
ALTO CAPARAO,2017,5791.0,18.0,31.08271455707132,12º RISP - Ipatinga,3) Interior de MG,12417.82
ALTO CAPARAO,2018,5799.0,29.0,50.00862217623728,12º RISP - Ipatinga,3) Interior de MG,11697.97
ALTO CAPARAO,2019,5847.0,26.0,44.467248161450314,12º RISP - Ipatinga,3) Interior de MG,11772.11
ALTO CAPARAO,2020,5894.0,27.0,45.80929759077028,12º Departamento - Ipatinga,3) Interior de MG,14318.99
ALTO CAPARAO,2021,5938.0,34.0,57.258336140114515,12º Departamento - Ipatinga,3) Interior de MG,16354.23
ALTO JEQUITIBA,2014,8532.0,44.0,51.570557899671826,12º RISP - Ipatinga,3) Interior de MG,10050.41
ALTO JEQUITIBA,2015,8528.0,30.0,35.17823639774859,12º RISP - Ipatinga,3) Interior de MG,12810.62
ALTO JEQUITIBA,2016,8525.0,26.0,30.498533724340177,12º RISP - Ipatinga,3) Interior de MG,12183.8
ALTO JEQUITIBA,2017,8522.0,31.0,36.376437455996246,12º RISP - Ipatinga,3) Interior de MG,14108.46
ALTO JEQUITIBA,2018,8333.0,42.0,50.40201608064322,12º RISP - Ipatinga,3) Interior de MG,11564.86
ALTO JEQUITIBA,2019,8317.0,42.0,50.49897799687387,12º RISP - Ipatinga,3) Interior de MG,10773.81
ALTO JEQUITIBA,2020,8301.0,44.0,53.005661968437536,12º Departamento - Ipatinga,3) Interior de MG,13405.31
ALTO JEQUITIBA,2021,8286.0,58.0,69.99758629012793,12º Departamento - Ipatinga,3) Interior de MG,15158.56
ALTO RIO DOCE,2014,12006.0,47.0,39.14709312010661,13º RISP - Barbacena,3) Interior de MG,8724.88
ALTO RIO DOCE,2015,11896.0,57.0,47.91526563550774,13º RISP - Barbacena,3) Interior de MG,9984.85
ALTO RIO DOCE,2016,11792.0,71.0,60.21031207598372,13º RISP - Barbacena,3) Interior de MG,11420.27
ALTO RIO DOCE,2017,11693.0,71.0,60.720088942102116,13º RISP - Barbacena,3) Interior de MG,13861.49
ALTO RIO DOCE,2018,11146.0,75.0,67.28871343979903,13º RISP - Barbacena,3) Interior de MG,15217.83
ALTO RIO DOCE,2019,11000.0,81.0,73.63636363636364,13º RISP - Barbacena,3) Interior de MG,15323.07
ALTO RIO DOCE,2020,10859.0,43.0,39.59848973201952,13º Departamento - Barbacena,3) Interior de MG,16491.59
ALTO RIO DOCE,2021,10723.0,51.0,47.56131679567285,13º Departamento - Barbacena,3) Interior de MG,16798.64
ALVARENGA,2014,4343.0,6.0,13.815335021874281,8º RISP - Governador Valadares,3) Interior de MG,7500.58
ALVARENGA,2015,4292.0,12.0,27.958993476234856,8º RISP - Governador Valadares,3) Interior de MG,8274.8
ALVARENGA,2016,4245.0,13.0,30.62426383981154,8º RISP - Governador Valadares,3) Interior de MG,8858.18
ALVARENGA,2017,4199.0,18.0,42.86734936889736,8º RISP - Governador Valadares,3) Interior de MG,9320.71
ALVARENGA,2018,3973.0,21.0,52.85678328718852,8º RISP - Governador Valadares,3) Interior de MG,9738.21
ALVARENGA,2019,3907.0,10.0,25.59508574353724,8º RISP - Governador Valadares,3) Interior de MG,10710.9
ALVARENGA,2020,3844.0,12.0,31.21748178980229,8º Departamento - Governador Valadares,3) Interior de MG,12673.86
ALVARENGA,2021,3783.0,13.0,34.36426116838488,8º Departamento - Governador Valadares,3) Interior de MG,14445.67
ALVINOPOLIS,2014,15630.0,63.0,40.30710172744722,12º RISP - Ipatinga,3) Interior de MG,14457.65
ALVINOPOLIS,2015,15619.0,81.0,51.85991420705551,12º RISP - Ipatinga,3) Interior de MG,15041.2
ALVINOPOLIS,2016,15609.0,90.0,57.65904285988853,12º RISP - Ipatinga,3) Interior de MG,17215.85
ALVINOPOLIS,2017,15599.0,64.0,41.02827104301558,12º RISP - Ipatinga,3) Interior de MG,18015.77
ALVINOPOLIS,2018,15239.0,82.0,53.809305072511314,12º RISP - Ipatinga,3) Interior de MG,17762.16
ALVINOPOLIS,2019,15203.0,71.0,46.70130895218049,12º RISP - Ipatinga,3) Interior de MG,18965.35
ALVINOPOLIS,2020,15169.0,79.0,52.07989979563584,12º Departamento - Ipatinga,3) Interior de MG,22113.53
ALVINOPOLIS,2021,15135.0,77.0,50.87545424512719,12º Departamento - Ipatinga,3) Interior de MG,22478.72
ALVORADA DE MINAS,2014,3661.0,44.0,120.18574160065555,14º RISP - Curvelo,3) Interior de MG,18671.72
ALVORADA DE MINAS,2015,3666.0,36.0,98.19967266775778,14º RISP - Curvelo,3) Interior de MG,13753.98
ALVORADA DE MINAS,2016,3669.0,33.0,89.94276369582994,14º RISP - Curvelo,3) Interior de MG,12879.06
ALVORADA DE MINAS,2017,3673.0,27.0,73.50939286686632,14º RISP - Curvelo,3) Interior de MG,11579.64
ALVORADA DE MINAS,2018,3606.0,31.0,85.96783139212422,14º RISP - Curvelo,3) Interior de MG,13173.82
ALVORADA DE MINAS,2019,3606.0,41.0,113.6993899057127,14º RISP - Curvelo,3) Interior de MG,14741.47
ALVORADA DE MINAS,2020,3605.0,50.0,138.69625520110958,14º Departamento - Curvelo,3) Interior de MG,16940.9
ALVORADA DE MINAS,2021,3605.0,28.0,77.66990291262135,14º Departamento - Curvelo,3) Interior de MG,17990.28
AMPARO DA SERRA,2014,4997.0,29.0,58.03482089253552,12º RISP - Ipatinga,3) Interior de MG,7709.56
AMPARO DA SERRA,2015,4971.0,29.0,58.338362502514585,12º RISP - Ipatinga,3) Interior de MG,8347.43
AMPARO DA SERRA,2016,4947.0,34.0,68.72852233676976,12º RISP - Ipatinga,3) Interior de MG,9466.52
AMPARO DA SERRA,2017,4924.0,36.0,73.11129163281885,12º RISP - Ipatinga,3) Interior de MG,9347.19
AMPARO DA SERRA,2018,4751.0,49.0,103.13618185645127,12º RISP - Ipatinga,3) Interior de MG,9683.76
AMPARO DA SERRA,2019,4713.0,38.0,80.62805007426267,12º RISP - Ipatinga,3) Interior de MG,9756.76
AMPARO DA SERRA,2020,4678.0,43.0,91.91962377084225,12º Departamento - Ipatinga,3) Interior de MG,10842.06
AMPARO DA SERRA,2021,4643.0,37.0,79.6898556967478,12º Departamento - Ipatinga,3) Interior de MG,12045.13
ANDRADAS,2014,39761.0,285.0,71.67827770931315,18º RISP - Poços de Caldas,3) Interior de MG,18261.55
ANDRADAS,2015,40092.0,300.0,74.827895839569,18º RISP - Poços de Caldas,3) Interior de MG,19585.41
ANDRADAS,2016,40407.0,242.0,59.89061301259682,18º RISP - Poços de Caldas,3) Interior de MG,21150.25
ANDRADAS,2017,40706.0,274.0,67.31194418513242,18º RISP - Poços de Caldas,3) Interior de MG,21441.94
ANDRADAS,2018,40747.0,262.0,64.29921221194198,18º RISP - Poços de Caldas,3) Interior de MG,21719.61
ANDRADAS,2019,41077.0,321.0,78.14592107505416,18º RISP - Poços de Caldas,3) Interior de MG,24456.02
ANDRADAS,2020,41396.0,297.0,71.74606242149,18º Departamento - Poços de Caldas,3) Interior de MG,24571.81
ANDRADAS,2021,41704.0,332.0,79.60867063111452,18º Departamento - Poços de Caldas,3) Interior de MG,28386.06
ANDRELANDIA,2014,12507.0,32.0,25.585672023666746,13º RISP - Barbacena,3) Interior de MG,13506.04
ANDRELANDIA,2015,12507.0,50.0,39.97761253697929,13º RISP - Barbacena,3) Interior de MG,14711.64
ANDRELANDIA,2016,12507.0,48.0,38.37850803550012,13º RISP - Barbacena,3) Interior de MG,15618.48
ANDRELANDIA,2017,12507.0,40.0,31.982090029583432,13º RISP - Barbacena,3) Interior de MG,17483.29
ANDRELANDIA,2018,12242.0,28.0,22.87207972553504,13º RISP - Barbacena,3) Interior de MG,19077.7
ANDRELANDIA,2019,12224.0,39.0,31.904450261780102,13º RISP - Barbacena,3) Interior de MG,19085.32
ANDRELANDIA,2020,12206.0,49.0,40.14419138128789,13º Departamento - Barbacena,3) Interior de MG,20404.03
ANDRELANDIA,2021,12189.0,45.0,36.91853310361802,13º Departamento - Barbacena,3) Interior de MG,23950.85
