ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
1063,18,27.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1064,18,31.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1065,18,69.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1066,91,44.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1067,99,61.0,PRETO,ALFABETIZADO,NAO FATAL,1,,,,,,
1068,184,28.0,BRANCA,SUPERIOR INCOMPLETO,ALTO RISCO DE FATALIDADE,1,,,,,,
1069,128,54.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1070,137,80.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1071,185,37.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1072,18,23.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1073,11,48.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,,,,
1074,144,68.0,PRETO,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1075,151,50.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1076,128,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1077,83,30.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1078,128,30.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1079,21,69.0,BRANCA,ALFABETIZADO,ALTO RISCO DE FATALIDADE,1,,,,,,
1080,10,33.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1081,154,24.0,PARDA,ALFABETIZADO,ALTO RISCO DE FATALIDADE,1,,,,,,
1082,126,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1083,11,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1084,101,47.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1085,87,21.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1086,14,64.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1087,43,72.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1088,17,25.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,,,,
1089,44,64.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1090,159,24.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1091,175,20.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1092,166,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1093,41,69.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1094,107,42.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1095,168,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1096,18,62.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1097,111,38.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1098,159,51.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1099,68,25.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1100,18,41.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1101,138,43.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1102,143,20.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1103,143,22.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1104,172,36.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1105,127,24.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1106,181,47.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1107,18,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1108,168,28.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1109,118,31.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1110,128,66.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,,,,
1111,109,36.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1112,1,43.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1113,134,26.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1114,113,45.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1115,91,26.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1116,81,47.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1117,68,29.0,PARDA,ALFABETIZADO,ALTO RISCO DE FATALIDADE,1,,,,,,
1118,91,38.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1119,66,55.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1120,91,48.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1121,158,43.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1122,120,39.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1123,81,81.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1124,167,34.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,,,,
1125,102,53.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1126,108,32.0,BRANCA,SUPERIOR COMPLETO,ALTO RISCO DE FATALIDADE,1,,,,,,
1127,170,19.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1128,1,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1129,18,56.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1130,127,33.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1131,156,69.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1132,148,29.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1133,90,70.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1134,126,43.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1135,64,63.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1136,87,49.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1137,99,0.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1138,83,50.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1139,18,48.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1140,109,43.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1141,107,49.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1142,12,27.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1143,91,31.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1144,81,28.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,,,,
1145,168,53.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1146,18,71.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1147,83,41.0,PARDA,POS GRADUACAO,NAO FATAL,1,,,,,,
1148,11,25.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1149,156,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1150,166,62.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1151,1,56.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1152,91,67.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1153,68,45.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1154,18,62.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1155,140,42.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1156,111,45.0,PARDA,OUTROS   ESCOLARIDADE,POSSIVEL FATAL,1,,,,,,
1157,34,24.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1158,50,38.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1159,105,53.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,,,,
1160,18,67.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1161,111,30.0,PRETO,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1162,70,52.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1163,87,39.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1164,154,27.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1165,89,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1166,106,33.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1167,1,29.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1168,108,67.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1169,18,46.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1170,87,44.0,PARDA,OUTROS   ESCOLARIDADE,POSSIVEL FATAL,1,,,,,,
1171,107,59.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1172,18,45.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1173,125,56.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1174,163,44.0,PRETO,ANALFABETO,POSSIVEL FATAL,1,,,,,,
1175,163,18.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1176,172,53.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1177,17,49.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1178,162,37.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1179,12,30.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1180,154,32.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1181,111,42.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1182,83,45.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1183,1,26.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1184,18,19.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1185,127,62.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1186,1,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1187,15,14.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1188,128,56.0,PARDA,POS GRADUACAO,NAO FATAL,1,,,,,,
1189,72,20.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1190,18,62.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1191,98,40.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,,,,
1192,50,36.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1193,43,50.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1194,127,61.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1195,140,11.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1196,87,38.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1197,84,29.0,PRETO,ALFABETIZADO,NAO FATAL,1,,,,,,
1198,11,59.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1199,177,25.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1200,108,29.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1201,111,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1202,121,69.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1203,121,45.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1204,106,40.0,PRETO,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1205,128,24.0,PRETO,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1206,17,50.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1207,17,59.0,PARDA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,,,,
1208,109,34.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1209,137,46.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1210,34,24.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1211,177,24.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1212,154,3.0,PARDA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,,,,
1213,18,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1214,18,66.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1215,12,37.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1216,186,37.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1217,182,26.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,,,,
1218,155,40.0,BRANCA,POS GRADUACAO,NAO FATAL,1,,,,,,
1219,153,22.0,PRETO,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1220,11,27.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1221,9,19.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1222,43,83.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1223,18,73.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1224,83,17.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,,,,
1225,102,44.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1226,76,33.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1227,14,25.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1228,18,27.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1229,122,34.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1230,77,20.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1231,142,26.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1232,18,34.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1233,47,50.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1234,34,20.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1235,18,57.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1236,18,63.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1237,108,35.0,PARDA,ALFABETIZADO,NAO FATAL,1,,,,,,
1238,18,37.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1239,11,45.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1240,34,41.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1241,126,42.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1242,156,20.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1243,75,25.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1244,94,44.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1245,122,42.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1246,18,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1247,55,20.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1248,155,37.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1249,140,38.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1250,50,63.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1251,18,21.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1252,35,22.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,POSSIVEL FATAL,1,,,,,,
1253,124,21.0,PARDA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1254,113,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1255,66,66.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1256,132,31.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1257,124,51.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1258,166,28.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1259,94,47.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1260,68,26.0,BRANCA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1261,154,48.0,BRANCA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,,,,
1262,9,51.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1263,18,58.0,BRANCA,ALFABETIZADO,NAO FATAL,1,,,,,,
1264,18,43.0,BRANCA,OUTROS   ESCOLARIDADE,POSSIVEL FATAL,1,,,,,,
1265,28,46.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1266,155,64.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1267,15,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1268,107,31.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1269,133,49.0,INDIGENA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,,,,
1270,154,52.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,ALTO RISCO DE FATALIDADE,1,,,,,,
1271,18,28.0,BRANCA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,,,,
1272,87,65.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1273,18,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1274,128,48.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1275,76,28.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1276,87,46.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1277,18,21.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1278,133,24.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1279,18,47.0,PARDA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1280,177,31.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1281,154,34.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1282,18,59.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1283,29,32.0,PARDA,ALFABETIZADO,POSSIVEL FATAL,1,,,,,,
1284,6,51.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1285,109,31.0,PRETO,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1286,12,49.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1287,137,31.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1288,18,19.0,BRANCA,SUPERIOR INCOMPLETO,NAO FATAL,1,,,,,,
1289,99,46.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1290,11,24.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1291,162,33.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1292,11,43.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1293,11,23.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1294,11,25.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1295,11,34.0,BRANCA,ESCOLARIDADE   IGNORADA,NAO FATAL,1,,,,,,
1296,11,29.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1297,18,23.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1298,12,45.0,BRANCA,SUPERIOR INCOMPLETO,POSSIVEL FATAL,1,,,,,,
1299,66,28.0,BRANCA,ESCOLARIDADE   IGNORADA,POSSIVEL FATAL,1,,,,,,
1300,49,27.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1301,18,44.0,PRETO,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1302,7,21.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1303,124,53.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1304,83,50.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1305,18,23.0,PARDA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1306,156,55.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,NAO FATAL,1,,,,,,
1307,18,29.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1308,29,42.0,PARDA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1309,34,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1310,76,25.0,BRANCA,SUPERIOR COMPLETO,POSSIVEL FATAL,1,,,,,,
1311,127,69.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO ,POSSIVEL FATAL,1,,,,,,
1312,143,58.0,BRANCA,SUPERIOR COMPLETO,NAO FATAL,1,,,,,,
1313,137,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,POSSIVEL FATAL,1,,,,,,
1314,87,48.0,PRETO,ALFABETIZADO,NAO FATAL,1,,,,,,
1315,68,22.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
1316,122,29.0,PARDA,ENSINO MEDIO INCOMPLETO   2o GRAU ,NAO FATAL,1,,,,,,
1317,18,48.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU ,NAO FATAL,1,,,,,,
