ID,Bairro,Idade Aparente,Raca Cor,Escolaridade,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa,Media Idade,Cor Predominante,Escolaridade Predominante
44,DOUTOR DULPHE PINTO DE AGUIAR,,,,Bairro,2,0.014725568942436412,0.0,2.0,42.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
45,DOUTOR JOSE TOMAZ,,,,Bairro,2,0.018741633199464525,0.0,2.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
46,ELDORADO,,,,Bairro,2,0.006693440428380187,0.0,3.0,43.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
47,ELIZABETH NOGUEIRA,,,,Bairro,2,0.030789825970548863,0.0,3.0,37.0,BRANCA,ENSINO MEDIO INCOMPLETO   2o GRAU 
48,ERMINOPOLIS,,,,Bairro,2,0.0,0.0,7.0,-1.0,DESCONHECIDO,DESCONHECIDO
49,ESPIRITO SANTO,,,,Bairro,2,0.050870147255689425,0.0,4.0,43.0,PARDA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
50,ESPLANADA,,,,Bairro,2,0.10174029451137885,2.0,8.0,44.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
51,ESTANCIA GAFANHOTO,,,,Bairro,2,0.0013386880856760374,0.0,2.0,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
52,EXPOSICAO,,,,Bairro,2,0.02677376171352075,0.0,3.0,32.0,BRANCA,SUPERIOR INCOMPLETO
53,FABIO NOTINI,,,,Bairro,2,0.008032128514056224,0.0,2.0,39.0,BRANCA,ALFABETIZADO
54,FAZENDA DA UZINA,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
55,FLORERMIDA,,,,Bairro,2,0.05756358768406961,2.0,4.0,45.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
56,FLORERMIDA ,,,,Bairro,2,0.0,0.0,2.0,-1.0,DESCONHECIDO,DESCONHECIDO
57,FLORESTA,,,,Bairro,2,0.014725568942436412,0.0,2.0,31.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
58,FONTE BOA,,,,Bairro,2,0.013386880856760375,0.0,3.0,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
59,FRANCISCO MACHADO FILHO,,,,Bairro,2,0.0,0.0,2.0,-1.0,DESCONHECIDO,DESCONHECIDO
60,GARCIA LEAO,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
61,GERALDO PEREIRA,,,,Bairro,2,0.0107095046854083,1.0,4.0,36.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
62,GRAJAU,,,,Bairro,2,0.013386880856760375,0.0,4.0,35.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
63,GRANJAS DO SHEIK,,,,Bairro,2,0.002677376171352075,0.0,4.0,39.0,BRANCA,ENSINO FUNDAMENTAL COMPLETO  8 ANOS ESTUDO 
64,HALIM SOUKI,,,,Bairro,2,0.0428380187416332,1.0,6.0,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
65,HELENO RAMOS FREITAS,,,,Bairro,2,0.008032128514056224,0.0,2.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
66,ICARAI,,,,Bairro,2,0.07764390896921017,1.0,3.0,36.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
67,INHAME,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
68,INTERLAGOS,,,,Bairro,2,0.17402945113788487,2.0,9.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
69,IPANEMA,,,,Bairro,2,0.0013386880856760374,0.0,5.0,40.0,PARDA,ALFABETIZADO
70,IPIRANGA,,,,Bairro,2,0.11646586345381527,2.0,8.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
71,ITACOLOMI,,,,Bairro,2,0.006693440428380187,0.0,2.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
72,ITAI,,,,Bairro,2,0.03614457831325301,3.0,3.0,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
73,JARDIM BETANIA,,,,Bairro,2,0.024096385542168676,0.0,1.0,34.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
74,JARDIM BRASILIA,,,,Bairro,2,0.0013386880856760374,0.0,4.0,30.0,BRANCA,SUPERIOR COMPLETO
75,JARDIM CANDELARIA,,,,Bairro,2,0.05756358768406961,2.0,4.0,42.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
76,JARDIM CAPITAO SILVA,,,,Bairro,2,0.012048192771084338,0.0,11.0,42.0,BRANCA,SUPERIOR COMPLETO
77,JARDIM COPACABANA,,,,Bairro,2,0.06693440428380187,2.0,2.0,38.0,PARDA,ALFABETIZADO
78,JARDIM DAS ACACIAS,,,,Bairro,2,0.030789825970548863,0.0,5.0,37.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
79,JARDIM DAS MANSOES,,,,Bairro,2,0.012048192771084338,1.0,1.0,30.0,PARDA,ALFABETIZADO
80,JARDIM DAS OLIVEIRAS,,,,Bairro,2,0.0321285140562249,0.0,4.0,44.0,BRANCA,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
81,JARDIM DOS CANDIDES,,,,Bairro,2,0.11378848728246319,1.0,4.0,39.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
82,JARDIM FLORAMAR,,,,Bairro,2,0.006693440428380187,1.0,2.0,42.0,PARDA,SUPERIOR COMPLETO
83,JARDIM NOVA AMERICA,,,,Bairro,2,0.08701472556894244,0.0,3.0,41.0,BRANCA,SUPERIOR COMPLETO
84,JARDIM PRIMAVERA,,,,Bairro,2,0.018741633199464525,0.0,5.0,54.0,BRANCA,SUPERIOR COMPLETO
85,JARDIM REAL,,,,Bairro,2,0.008032128514056224,0.0,0.0,29.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
86,JARDIM ZONA SUL,,,,Bairro,2,0.008032128514056224,0.0,1.0,24.0,PRETO,ENSINO MEDIO INCOMPLETO   2o GRAU 
87,JARDINOPOLIS,,,,Bairro,2,0.1111111111111111,2.0,5.0,38.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
88,JARDM DAS OLIVEIRAS,,,,Bairro,2,0.0,0.0,1.0,-1.0,DESCONHECIDO,DESCONHECIDO
89,JOAO PAULO II,,,,Bairro,2,0.012048192771084338,1.0,4.0,30.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
90,JOSE ANTONIO GONCALVES,,,,Bairro,2,0.00535475234270415,0.0,2.0,40.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
91,JUSA FONSECA,,,,Bairro,2,0.058902275769745646,2.0,5.0,41.0,BRANCA,ENSINO MEDIO COMPLETO  2o GRAU 
92,JUSCELINO KUBISTCHEK,,,,Bairro,2,0.004016064257028112,0.0,4.0,34.0,BRANCA,SUPERIOR COMPLETO
93,JUSSARA,,,,Bairro,2,0.0,0.0,3.0,-1.0,DESCONHECIDO,DESCONHECIDO
94,LAGOA DOS MANDARINS,,,,Bairro,2,0.029451137884872823,0.0,2.0,40.0,PARDA,ENSINO MEDIO COMPLETO  2o GRAU 
95,LAGOA PARK,,,,Bairro,2,0.0013386880856760374,0.0,1.0,62.0,PRETO,ENSINO FUNDAMENTAL INCOMPLETO  8 ANOS ESTUDO 
