ID,Bairro,Betweenness
144,SANTO ANDRE,0.0035186334885834933
145,SANTO ANTONIO,0.017327067096710055
146,SANTO ANTONIO DOS CAMPOS,1.2243283103616074e-05
147,SANTOS DUMONT,0.008187804618868321
148,SAO BENTO,0.01117421220102907
149,SAO CAETANO,0.002793030656653426
150,SAO CRISTOVAO,0.00034185843177967593
151,SAO DOMINGOS,0.08041284306088403
152,SAO FREI GALVAO,0.006210316598114426
153,SAO GERALDO,0.011015911723717527
154,SAO JOAO DE DEUS,0.04576422288609668
155,SAO JOSE,0.16910406747542506
156,SAO JUDAS TADEU,0.06107888897018546
157,SAO LUCAS,0.011698350498071363
158,SAO LUIZ,0.05949760299844315
159,SAO MIGUEL,0.014644954730688955
160,SAO PAULO,0.04170715335843323
161,SAO ROQUE,0.0
162,SAO SEBASTIAO,0.01507334103495734
163,SAO SIMAO,0.044129597823254624
164,SAVASSI,0.0023917309332522176
165,SERRA VERDE,0.023664117977104857
166,SION,0.013616458088594467
167,TERRA AZUL,0.011286562328332837
168,TIETE,0.053581142800278016
169,TOTONHO CARVALHO,1.472845655878255e-05
170,UNIVERSITARIO,0.0017974438137549648
171,VALE DO SOL,0.024539251884481646
172,VILA BELO HORIZONTE,0.11576361896684652
173,VILA CASTELO,0.0
174,VILA CENTRAL DO DIVINO,0.0
175,VILA CRUZEIRO,0.13393424221912248
176,VILA DAS OLIVEIRAS,0.0
177,VILA DAS ROSEIRAS,0.021447359339892443
178,VILA MINAS GERAIS,0.016305703949721785
179,VILA RICA,0.0
180,VILA RICA ,0.0
181,VILA ROMANA,0.04444765714690178
182,VILA ROSEIRAS,0.0006836560021686131
183,VILA SANTO ANDRE,0.002050237669816974
184,VISTA ALEGRE,6.238292550724014e-05
185,VIVENDAS DA EXPOSICAO,0.10085174225140131
186,WALCHIR RESENDE,0.004097006240361838
187,XAVANTE,0.002050237669816974
188,YANES,0.015161221766102764
