ID,Bairro,Classificacao Predominante,Desvio Padrao Classificacao
141,SANTA MARTHA,NAO FATAL,0.6999
142,SANTA ROSA,NAO FATAL,0.7056
143,SANTA TEREZA,POSSIVEL FATAL,0.7033
144,SANTO ANDRE,NAO FATAL,0.7536
145,SANTO ANTONIO,NAO FATAL,0.6985
146,SANTO ANTONIO DOS CAMPOS,NAO FATAL,0.0
147,SANTOS DUMONT,NAO FATAL,0.6428
148,SAO BENTO,NAO FATAL,0.7071
149,SAO CAETANO,POSSIVEL FATAL,0.6124
150,SAO CRISTOVAO,POSSIVEL FATAL,0.0
151,SAO DOMINGOS,NAO FATAL,0.7027
152,SAO FREI GALVAO,POSSIVEL FATAL,0.7027
153,SAO GERALDO,NAO FATAL,0.6667
154,SAO JOAO DE DEUS,NAO FATAL,0.7211
155,SAO JOSE,NAO FATAL,0.6903
156,SAO JUDAS TADEU,NAO FATAL,0.686
157,SAO LUCAS,POSSIVEL FATAL,0.736
158,SAO LUIZ,NAO FATAL,0.7462
159,SAO MIGUEL,NAO FATAL,0.6836
160,SAO PAULO,NAO FATAL,0.0
162,SAO SEBASTIAO,NAO FATAL,0.6829
163,SAO SIMAO,POSSIVEL FATAL,0.7036
164,SAVASSI,NAO FATAL,0.0
165,SERRA VERDE,NAO FATAL,0.7027
166,SION,NAO FATAL,0.5674
167,TERRA AZUL,NAO FATAL,0.7298
168,TIETE,NAO FATAL,0.6996
170,UNIVERSITARIO,POSSIVEL FATAL,0.6928
171,VALE DO SOL,POSSIVEL FATAL,0.7342
172,VILA BELO HORIZONTE,NAO FATAL,0.6818
175,VILA CRUZEIRO,NAO FATAL,0.6902
177,VILA DAS ROSEIRAS,POSSIVEL FATAL,0.7027
181,VILA ROMANA,NAO FATAL,0.6389
182,VILA ROSEIRAS,NAO FATAL,0.7071
183,VILA SANTO ANDRE,NAO FATAL,0.527
184,VISTA ALEGRE,NAO FATAL,0.7698
185,VIVENDAS DA EXPOSICAO,NAO FATAL,0.0
186,WALCHIR RESENDE,NAO FATAL,0.6928
187,XAVANTE,NAO FATAL,0.6667
