ID,Bairro,Classificacao,Tipo,N de casos Total,N de casos Fatais,N de bairros Divisa
145,SANTO ANTONIO,Bairro,2,45,0,3
146,SANTO ANTONIO DOS CAMPOS,Bairro,2,1,0,7
147,SANTOS DUMONT,Bairro,2,24,0,3
148,SAO BENTO,Bairro,2,2,0,2
149,SAO CAETANO,Bairro,2,8,0,3
150,SAO CRISTOVAO,Bairro,2,1,0,1
151,SAO DOMINGOS,Bairro,2,9,0,4
152,SAO FREI GALVAO,Bairro,2,18,0,4
153,SAO GERALDO,Bairro,2,9,0,4
154,SAO JOAO DE DEUS,Bairro,2,86,2,3
155,SAO JOSE,Bairro,2,97,0,8
156,SAO JUDAS TADEU,Bairro,2,66,0,11
157,SAO LUCAS,Bairro,2,12,1,3
158,SAO LUIZ,Bairro,2,47,3,3
159,SAO MIGUEL,Bairro,2,43,0,3
160,SAO PAULO,Bairro,2,1,0,4
162,SAO SEBASTIAO,Bairro,2,27,0,6
163,SAO SIMAO,Bairro,2,20,0,5
164,SAVASSI,Bairro,2,7,0,1
165,SERRA VERDE,Bairro,2,9,0,6
166,SION,Bairro,2,21,1,3
167,TERRA AZUL,Bairro,2,33,2,4
168,TIETE,Bairro,2,37,1,4
170,UNIVERSITARIO,Bairro,2,5,0,4
171,VALE DO SOL,Bairro,2,39,2,4
172,VILA BELO HORIZONTE,Bairro,2,49,0,6
175,VILA CRUZEIRO,Bairro,2,26,1,8
177,VILA DAS ROSEIRAS,Bairro,2,63,0,2
181,VILA ROMANA,Bairro,2,21,0,3
182,VILA ROSEIRAS,Bairro,2,2,0,1
183,VILA SANTO ANDRE,Bairro,2,6,0,2
184,VISTA ALEGRE,Bairro,2,9,1,5
185,VIVENDAS DA EXPOSICAO,Bairro,2,1,0,6
186,WALCHIR RESENDE,Bairro,2,5,0,2
187,XAVANTE,Bairro,2,6,0,1
