bairro;bairro_divisa
SAO JUDAS TADEU;JOSE ANTONIO GONCALVES
JOSE ANTONIO GONCALVES;MARAJO
MARAJO;YANES
MARAJO;PADRE HERCULANO
MARAJO;JARDIM DAS ACACIAS
MARAJO;CHANADOUR
YANES;CHANADOUR
YANES;GERALDO PEREIRA
YANES;JARDIM DAS ACACIAS
GERALDO PEREIRA;JARDIM DAS ACACIAS
GERALDO PEREIRA;CONDOMINIO VILLE ROYALE
JARDIM DAS ACACIAS;PADRE HERCULANO
JARDIM DAS ACACIAS;FLORESTA
FLORESTA;JARDINOPOLIS
JARDINOPOLIS;SAO CRISTOVAO
JARDINOPOLIS;JARDIM ZONA SUL
JARDINOPOLIS;CHACARAS SHAROM
JARDINOPOLIS;CACOCO
CHACARAS SHAROM;CACOCO
CHACARAS SHAROM;CHACARAS BOM RETIRO
CHACARAS BOM RETIRO ;CACOCO
CACOCO;INHAME
BELA VISTA;MORADA NOVA
BELA VISTA;NOVA VISTA
BELA VISTA;BELVEDERE
MORADA NOVA;NOVA VISTA
MORADA NOVA;BELVEDERE
NOVA VISTA ;BELVEDERE
BELVEDERE;CHANADOUR
BELVEDERE;JUSSARA
BELVEDERE;ALTEROSA
BELVEDERE;REALENGO
CHANADOUR;CONDOMINIO VILLE ROYALE
CHANADOUR;ALTEROSA
CHANADOUR;CASTELO
CHANADOUR;VIVENDAS DA EXPOSICAO
CONDOMINIO VILLE ROYALE;VILA CASTELO
CONDOMINIO VILLE ROYALE;SAO PAULO
SAO PAULO;VILA CRUZEIRO
SAO PAULO;SAO DOMINGOS
SAO PAULO;VIVENDAS DA EXPOSICAO
VILA CRUZEIRO;VIVENDAS DA EXPOSICAO
VIVENDAS DA EXPOSICAO;CASTELO
VIVENDAS DA EXPOSICAO;SAO DOMINGOS
VIVENDAS DA EXPOSICAO;VILA SANTO ANDRE
SAO DOMINGOS;VILA SANTO ANDRE
SAO DOMINGOS;JOAO PAULO II
SANTO ANDRE;JOAO PAULO II
SANTO ANDRE;MORUMBI
SANTO ANDRE;JUSCELINO KUBISTCHEK
SANTO ANDRE;GRANJAS DO SHEIK
JOAO PAULO II;MORUMBI
JOAO PAULO II;GRANJAS DO SHEIK
MORUMBI;JUSCELINO KUBISTCHEK
GRANJAS DO SHEIK;JUSCELINO KUBISTCHEK
GRANJAS DO SHEIK;JARDIM COPACABANA
JARDIM COPACABANA;JUSCELINO KUBISTCHEK
ALTEROSA;REALENGO
ALTEROSA;JUSSARA
ALTEROSA;CASTELO
CASTELO;REALENGO
CASTELO;ITACOLOMI
REALENGO;JUSSARA
REALENGO;ITACOLOMI
ESPLANADA;FRANCISCO MACHADO FILHO
ESPLANADA;PORTO VELHO
ESPLANADA;ANTONIO FONSECA
FRANCISCO MACHADO FILHO;INTERLAGOS
ESPLANADA;INTERLAGOS
PORTO VELHO;INTERLAGOS
PORTO VELHO;NITEROI
PORTO VELHO;SAO JOAO DE DEUS
PORTO VELHO;ANTONIO FONSECA
INTERLAGOS;ANTONIO FONSECA
INTERLAGOS;NOSSA SENHORA DAS GRACAS
INTERLAGOS;MANGABEIRAS
INTERLAGOS;PONTE FUNDA
INTERLAGOS;SAO JOAO DE DEUS
ANTONIO FONSECA;NOSSA SENHORA DAS GRACAS
ANTONIO FONSECA;CIDADE JARDIM
ANTONIO FONSECA;MAR E TERRA
NOSSA SENHORA DAS GRACAS;MAR E TERRA
NOSSA SENHORA DAS GRACAS;SANTA TEREZA
MAR E TERRA;CIDADE JARDIM
MAR E TERRA;SANTA TEREZA
MAR E TERRA;NOVA HOLANDA
MAR E TERRA;NOSSA SENHORA DE LOURDES
CIDADE JARDIM;NOVA HOLANDA
SANTA TEREZA;NOSSA SENHORA DE LOURDES
SANTA TEREZA;INTERLAGOS
SANTA TEREZA;JUSA FONSECA
